VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
2FAHP71V88X1,2,F,A,H,P,7,1,V,8,8,X,1,4,3,0,12,16,4,4,6,0,0,999,1,0,0,0,0,0,0,0,0,5,9,6,99,0,6,3,9,1,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,2,0,40295,0,12016,2008,CVP,***,4D,000000000,*,00000000000,1146,0,,0,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,3,1,43,14,1,1
1GKEK13Z34R2,1,G,K,E,K,1,3,Z,3,4,R,2,4,4,0,23,421,15,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,2,0,40295,0,23421,2004,YUK,YUK,4W,000000000,F,00000000000,1160,0,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,3,1,43,14,1,1
3FAHP31382R1,3,F,A,H,P,3,1,3,8,2,R,1,4,2,2,12,37,3,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,18,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,40445,0,12037,2002,FZX,***,3P,000000000,*,00000000000,1030,0,,2598,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,8,30,2,24,14,1,2
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,4,2,0,99,999,99,99,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40504,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,10,27,14,0,31,0,1
2FMDA51665BA,2,F,M,D,A,5,1,6,6,5,B,A,4,2,0,12,443,20,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40587,0,12443,2005,FRE,***,SV,000000000,*,00000000000,1208,0,,4275,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,11,18,12,5,38,0,1
1J4GK48K15W5,1,J,4,G,K,4,8,K,1,5,W,5,5,5,0,2,405,14,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,12,0,0,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,50008,0,2405,2005,SPR,LIB,4W,000000000,G,00000000000,1043,0,,,1,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,5,23,52,39,0,6
KNAFE221X956,K,N,A,F,E,2,2,1,X,9,5,6,5,2,0,63,33,4,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,9,9,0,6,1,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,50010,0,63033,2009,SXC,***,4D,000000000,*,00000000000,1028,0,,2701,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,5,23,52,39,0,1
1G6KD57Y99U1,1,G,6,K,D,5,7,Y,9,9,U,1,5,3,0,19,22,4,48,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,50010,0,19022,2009,TDS,***,4D,000000000,*,00000000000,1156,0,,4009,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,5,23,52,39,0,1
3C4FY48B05T6,3,C,4,F,Y,4,8,B,0,5,T,6,5,2,1,6,52,6,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,11,11,0,4,2,9,1,0,0,99,8,12,1,99,99,99,99,99,99,17,0,0,3,0,50033,0,6052,2005,PTC,***,SV,000000000,*,00000000000,1030,0,,3018,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,28,6,50,23,0,1
2G1WT55N8891,2,G,1,W,T,5,5,N,8,8,9,1,5,2,0,20,2,4,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,9,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50037,0,20002,2008,IMT,***,4D,000000000,*,00000000000,1105,0,,3555,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,2,4,3,37,34,0,1
