VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,12,3,0,99,999,99,12,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,120591,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,31,0,0,1
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,12,4,0,99,999,99,12,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,120591,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,31,0,0,1
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,12,5,0,99,999,99,12,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,120591,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,31,0,0,1
1G8JU54FX2Y5,1,G,8,J,U,5,4,F,X,2,Y,5,12,2,0,24,5,4,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120592,0,24005,2002,L20,***,4D,000000000,*,00000000000,1065,0,,3033,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,14,1,0,1
2FAFP71W3YX1,2,F,A,F,P,7,1,W,3,Y,X,1,12,2,1,12,16,4,12,6,0,0,99,1,0,0,0,0,0,0,5,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120685,0,12016,2000,CVP,***,4D,000000000,*,00000000000,1147,0,,0,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,14,1,0,2
1GNDS13S4321,1,G,N,D,S,1,3,S,4,3,2,1,12,2,0,20,403,14,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,120818,0,20403,2003,TRL,***,UT,000000000,*,00000000000,1130,0,,4417,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,8,0,2,1
1FASP11J7SW3,1,F,A,S,P,1,1,J,7,S,W,3,12,2,0,12,13,3,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120834,0,12013,1995,EST,***,2H,000000000,*,00000000000,984,0,,2355,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,8,0,0,1
1M1AE06YXYW0,1,M,1,A,E,0,6,Y,X,Y,W,0,12,2,0,86,881,66,12,6,0,0,99,1,0,0,0,1,6,1,0,0,7,7,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,12,120841,0,86881,2000,CX6,600,TM,113996,D,12113996,0,0,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,14,5,0,1
2G2FS22K1T22,2,G,2,F,S,2,2,K,1,T,2,2,12,2,0,22,9,2,12,6,0,0,99,1,0,0,0,0,0,0,0,0,10,10,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,120845,0,22009,1996,FBD,***,2H,000000000,*,00000000000,1011,0,,3150,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,29,0,5,1
JS1VY53A1721,J,S,1,V,Y,5,3,A,1,7,2,1,12,3,0,53,706,80,12,6,0,0,99,1,0,0,0,0,0,0,0,0,11,11,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,120845,0,53706,2007,ZR8,***,RS,000000000,*,00000000000,,,1783,,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,29,0,5,1
