ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10273,21,0,4,0,9,0,21,18,10,24
10274,22,22,22,22,22,22,22,22,22,22
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,14,0,0,0,0
10277,0,0,0,0,0,0,0,0,0,0
10278,19,4,24,37,19,9,15,23,22,26
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0
10282,0,0,0,0,0,0,0,0,0,0
10283,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,12,0,0,0,0
10285,31,31,31,31,31,31,31,31,31,31
10286,13,19,22,19,26,29,25,26,18,14
10287,0,0,22,22,0,4,13,0,13,0
10288,20,24,36,29,15,14,30,25,20,22
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,6,0,0,0,0,0
10291,40,29,24,21,13,27,18,13,25,18
10292,12,12,12,12,12,12,12,12,12,12
10293,0,0,0,0,0,0,0,0,0,8
10294,0,0,0,0,0,0,0,0,0,0
10295,13,13,13,13,13,13,13,13,13,13
10296,0,0,0,12,0,0,0,17,0,0
10297,9,0,0,0,0,0,0,23,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,20,20,20,20,20,20,20,20,20,20
10300,0,0,0,0,0,0,10,0,0,0
10301,0,5,20,25,0,0,0,17,18,0
10302,6,6,6,6,6,6,6,6,6,6
10303,0,0,0,6,0,0,14,0,0,0
10304,10,10,10,10,10,10,10,10,10,10
10305,0,0,0,0,0,0,0,0,0,0
10306,26,26,26,26,26,26,26,26,26,26
10307,0,0,0,0,0,0,0,0,0,0
10308,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,0
10310,26,26,26,26,26,26,26,26,26,26
10311,22,22,22,22,22,22,22,22,22,22
10312,0,0,0,0,0,0,0,0,0,0
10313,0,13,0,0,6,0,21,0,0,0
10314,10,10,10,10,10,10,10,10,10,10
10315,0,0,0,0,0,0,0,0,0,0
10316,18,18,18,18,18,18,18,18,18,18
10317,0,0,0,0,0,0,0,0,0,0
10318,25,25,25,25,25,25,25,25,25,25
10319,0,0,0,0,0,0,0,0,0,0
10320,15,15,15,15,15,15,15,15,15,15
10321,0,0,0,0,0,0,0,0,0,0
10322,0,0,0,0,0,0,0,0,0,0
10323,0,0,0,0,0,0,0,0,0,0
10324,0,0,0,0,0,0,0,0,0,0
10325,21,21,21,21,21,21,21,21,21,21
10326,0,0,0,0,0,0,0,0,0,0
10327,23,23,23,23,23,23,23,23,23,23
10328,0,0,0,0,0,0,0,0,0,0
10329,0,0,0,0,0,0,0,0,0,0
10330,41,41,41,41,41,41,41,41,41,41
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,18,0
10333,0,0,0,0,0,0,0,0,0,0
10334,15,0,10,8,25,5,6,10,21,25
10335,0,0,0,0,0,0,0,0,0,0
10336,0,0,21,4,0,0,0,0,0,0
10337,0,0,0,0,0,0,0,0,0,0
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,0,0,0,0,0,0,0
10340,0,14,6,0,19,0,0,0,0,0
10341,0,0,0,0,0,0,0,0,0,0
10342,0,9,0,0,0,0,0,0,0,0
10343,24,24,24,24,24,24,24,24,24,24
10344,0,0,0,0,13,0,0,0,0,0
10345,18,18,18,18,18,18,18,18,18,18
10346,25,25,25,25,25,25,25,25,25,25
10347,0,0,0,0,0,0,0,0,0,0
10348,15,15,15,15,15,15,15,15,15,15
10349,23,17,21,19,9,24,8,15,24,10
10350,0,0,3,10,19,12,0,7,21,16
10351,0,0,0,0,0,0,13,0,0,0
10352,0,0,0,0,0,0,0,0,0,0
10353,0,0,0,0,0,0,0,0,0,0
10354,0,0,0,0,0,0,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,0,0,0,0,0,0,0,0,0,0
10357,13,0,0,0,0,16,12,0,0,0
10358,30,30,30,30,30,30,30,30,30,30
10359,13,22,17,15,9,0,16,18,22,18
10360,0,0,0,0,0,0,9,0,0,0
10361,20,20,20,20,20,20,20,20,20,20
10362,10,14,2,3,10,29,8,18,14,10
10363,8,11,0,0,0,0,0,0,6,16
10364,19,19,19,19,19,19,19,19,19,19
10365,0,0,0,0,0,0,12,0,0,12
10366,0,0,0,0,0,0,0,0,0,0
