YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2004,10176,1,1,17,12,11,24,19,17,8,0,13,0
2004,10176,2,1,0,0,0,0,0,0,0,0,0,0
2004,10176,3,1,0,0,14,0,13,0,0,0,18,0
2004,10177,1,1,0,29,19,0,0,0,13,22,0,13
2004,10178,1,1,14,19,28,13,0,10,20,31,0,0
2004,10178,2,1,2,2,2,2,2,2,2,2,2,2
2004,10179,1,1,0,0,0,22,0,0,9,0,0,0
2004,10180,1,1,0,0,0,0,0,0,0,0,0,0
2004,10180,2,1,14,18,19,12,0,15,16,0,17,12
2004,10181,1,1,18,39,11,23,37,9,13,10,7,15
2004,10182,1,1,0,0,0,0,14,14,0,0,11,0
2004,10182,2,1,0,0,4,0,0,0,0,0,25,0
2004,10183,1,1,0,0,0,0,0,0,0,0,0,0
2004,10183,2,1,0,0,0,0,0,0,0,0,0,0
2004,10184,1,1,0,0,0,0,0,0,0,0,0,0
2004,10184,2,1,0,0,0,0,0,0,0,0,0,0
2004,10185,1,1,0,0,0,0,0,0,0,0,23,0
2004,10186,1,1,18,18,21,14,25,25,0,0,30,22
2004,10186,2,1,0,0,0,20,0,14,0,0,0,10
2004,10187,1,1,0,0,0,0,0,0,0,10,0,0
2004,10187,2,1,0,0,0,0,21,0,0,0,0,0
2004,10188,1,1,12,12,20,18,25,8,18,23,22,17
2004,10189,1,1,23,5,19,9,22,22,7,9,14,17
2004,10190,1,1,0,0,0,21,0,0,0,0,0,0
2004,10190,2,1,0,0,0,0,0,0,0,0,0,0
2004,10191,1,1,0,8,20,0,27,5,39,9,0,0
2004,10192,1,1,0,0,7,15,30,13,0,0,27,20
2004,10193,1,1,0,0,0,0,0,0,0,0,0,0
2004,10195,1,1,20,0,20,18,0,9,0,12,19,0
2004,10195,2,1,0,0,12,0,19,7,0,3,16,5
2004,10196,1,1,24,33,8,16,18,17,20,7,18,19
2004,10197,0,1,0,21,0,0,0,0,0,0,0,0
2004,10197,1,1,0,0,0,0,0,0,0,0,0,0
2004,10197,2,1,0,0,0,0,0,0,0,0,0,0
2004,10198,1,1,0,0,0,0,0,0,0,21,0,0
2004,10199,1,1,15,0,0,0,0,0,18,0,27,0
2004,10200,1,1,0,0,0,0,0,0,0,0,0,0
2004,10200,2,1,0,0,0,0,0,0,0,0,0,0
2004,10201,1,1,0,0,0,0,0,0,0,0,0,0
2004,10201,2,1,0,0,0,0,0,0,0,0,0,0
2004,10202,1,1,0,0,0,0,0,0,0,0,0,0
2004,10203,1,1,16,0,0,16,0,0,0,0,0,0
2004,10204,1,1,19,12,12,37,17,6,31,40,15,15
2004,10204,2,1,18,22,0,7,15,12,14,7,14,36
2004,10205,1,1,7,13,10,15,18,0,0,0,0,0
2004,10206,1,1,0,0,0,0,0,0,0,0,0,0
2004,10206,2,1,0,0,0,0,0,0,0,0,0,0
2004,10207,1,1,0,0,0,0,0,0,0,0,0,0
2004,10208,1,1,0,0,0,0,0,0,0,0,0,0
2004,10208,2,1,0,0,0,0,0,0,0,0,0,0
2004,10209,1,1,0,0,10,0,0,0,12,0,0,0
2004,10210,1,1,0,0,14,0,0,0,0,0,0,0
2004,10210,2,1,0,0,0,0,0,0,0,0,0,0
2004,10211,1,1,6,18,6,7,0,5,6,0,13,12
2004,10211,2,1,0,0,0,0,0,12,0,0,0,0
2004,10212,1,1,0,0,0,0,0,0,0,0,0,0
2004,10212,2,1,0,0,0,0,0,0,0,0,0,0
2004,10213,1,1,6,6,0,0,0,0,12,0,0,0
2004,10213,2,1,0,0,0,0,0,0,0,0,0,0
2004,10214,1,1,0,22,0,0,14,0,15,18,0,0
2004,10215,1,1,0,0,0,0,0,0,12,0,0,0
2004,10216,0,1,0,0,0,0,0,12,0,0,0,0
2004,10216,1,1,0,0,0,0,0,0,0,0,0,0
2004,10217,1,1,0,0,0,0,0,0,22,18,0,0
2004,10218,1,1,0,0,26,0,0,0,0,0,0,0
2004,10219,0,1,29,0,0,0,0,0,0,0,0,0
2004,10219,1,1,0,0,0,0,0,0,0,0,0,0
2004,10220,1,1,0,0,0,0,0,0,0,0,0,0
2004,10220,2,1,0,0,0,0,13,0,0,11,0,23
2004,10221,0,1,0,0,0,0,22,0,0,8,0,0
2004,10221,1,1,0,0,0,0,0,0,0,0,0,0
2004,10222,0,1,20,26,9,36,27,0,13,41,38,14
2004,10222,1,1,0,0,0,0,0,0,0,0,0,0
2004,10223,1,1,0,0,0,0,0,0,0,0,0,0
2004,10223,2,1,0,19,0,0,0,0,0,0,0,0
2004,10224,1,1,26,0,0,0,0,9,3,0,0,0
2004,10225,1,1,11,0,0,0,0,0,0,0,0,0
2004,10225,2,1,0,0,0,0,0,0,0,0,0,0
2004,10226,1,1,2,18,22,0,12,6,10,0,11,0
2004,10226,2,1,0,0,0,0,0,16,7,0,8,0
2004,10226,3,1,0,0,0,0,0,6,0,0,0,0
2004,10227,1,1,0,0,20,13,15,7,25,32,19,13
2004,10227,2,1,11,0,0,0,0,0,0,0,0,0
2004,10228,1,1,0,0,0,0,0,0,0,0,0,0
2004,10228,2,1,0,0,0,0,0,0,0,0,0,0
2004,10229,1,1,0,0,16,0,0,19,12,0,0,0
2004,10229,2,1,0,0,0,0,0,0,0,0,0,0
2004,10230,0,1,29,0,0,51,0,2,15,22,0,11
2004,10230,2,1,16,13,10,12,19,0,20,3,16,9
2004,10230,4,1,0,0,0,0,0,0,0,0,0,0
2004,10231,1,1,0,0,29,0,11,0,0,0,0,0
2004,10232,1,1,0,0,21,0,0,24,26,0,25,22
2004,10232,2,1,0,0,0,0,0,0,0,0,0,0
2004,10233,0,1,23,17,13,17,10,12,16,21,23,0
2004,10233,1,1,24,24,24,24,24,24,24,24,24,24
2004,10234,1,1,18,6,0,6,29,10,21,29,15,16
2004,10235,1,1,0,0,0,0,0,0,0,0,0,0
2004,10235,2,1,0,0,0,0,0,0,0,0,0,0
2004,10236,1,1,24,0,0,0,0,0,0,0,0,0
2004,10237,1,1,0,0,0,0,0,0,0,0,0,0
2004,10238,1,1,0,0,10,0,0,0,0,0,0,0
2004,10238,2,1,0,0,0,0,0,1,0,0,0,0
2004,10239,0,1,0,0,5,0,0,15,0,20,0,0
2004,10239,1,1,0,0,0,0,0,0,0,0,0,0
2004,10240,1,1,0,0,17,0,0,19,0,6,0,0
2004,10241,1,1,0,0,0,0,0,0,0,0,0,0
2004,10241,2,1,0,0,0,0,0,0,0,0,0,0
2004,10242,1,1,10,12,8,36,9,28,24,15,7,17
2004,10243,0,1,20,11,10,9,0,0,23,0,19,17
2004,10243,1,1,12,0,18,0,0,0,21,0,10,10
2004,10244,1,1,0,0,0,0,0,0,0,0,0,0
2004,10244,2,1,0,0,0,0,0,24,0,0,0,0
2004,10245,1,1,23,23,23,23,23,23,23,23,23,23
2004,10245,2,1,0,0,7,0,0,0,0,0,0,0
2004,10246,1,1,0,0,0,0,0,0,0,0,0,0
2004,10246,2,1,0,0,0,0,0,0,0,0,0,0
2004,10247,1,1,21,0,0,10,0,0,0,0,0,16
2004,10248,1,1,0,0,0,0,0,0,0,0,0,0
2004,10248,2,1,0,0,12,0,0,0,0,0,0,0
2004,10249,1,1,0,0,0,5,0,18,0,0,0,0
2004,10249,2,1,0,17,0,17,3,0,19,0,29,0
2004,10250,1,1,0,0,0,0,0,0,0,0,0,0
2004,10250,2,1,0,0,0,0,0,0,0,0,0,0
2004,10250,3,1,0,0,0,0,0,0,0,0,0,0
2004,10250,4,1,0,0,0,0,0,0,0,0,0,0
2004,10251,1,1,11,21,21,13,22,46,10,0,29,24
2004,10252,0,1,0,0,0,0,0,0,11,0,0,0
2004,10252,1,1,0,0,0,0,0,0,0,0,0,0
2004,10253,1,1,0,0,0,0,0,0,0,0,0,0
2004,10253,2,1,0,0,0,0,0,0,0,0,0,0
2004,10253,3,1,0,0,0,0,0,0,0,14,0,0
2004,10254,1,1,0,0,0,0,19,0,0,0,0,0
2004,10254,2,1,0,15,0,0,0,0,0,0,0,0
2004,10255,1,1,0,0,0,7,0,0,0,13,28,0
2004,10256,1,1,0,0,0,12,0,0,0,0,0,0
2004,10256,2,1,0,0,0,0,0,0,0,0,0,0
2004,10257,1,1,0,0,0,0,0,0,0,0,0,0
2004,10257,2,1,0,0,0,0,0,0,22,0,0,0
2004,10258,1,1,8,0,2,20,17,24,23,10,8,19
