ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
481757,1,439,2450,15,7,2016,6,3,9,1,I-820 LOOP,,32.77061944,-97.4757,1,1,0,1,19,0,0,1
481758,1,29,6090,16,7,2016,7,2,58,7,I-35,,29.53873889,-98.3805,1,1,0,1,0,0,0,1
481759,3,29,6090,16,7,2016,7,3,50,1,I-10,WEST AVE,29.48123889,-98.52600000000001,1,1,0,1,0,0,0,2
481760,2,439,2450,17,7,2016,1,2,7,8,FM 1220 BOAT CLUB RD,PINIONPARK WAY,32.83873611,-97.4253,3,1,0,1,0,0,0,1
481761,2,441,0,17,7,2016,1,12,54,8,FM613,,32.24134722,-99.84299999999999,1,6,0,6,0,0,0,1
481762,2,141,0,17,7,2016,1,3,43,1,I-10,,31.50331944,-106.117,1,1,0,1,0,0,0,1
481764,6,113,4530,24,6,2016,6,23,50,1,I-30,,32.81674444,-96.6407,1,1,0,1,19,27,0,1
481765,3,397,6010,29,6,2016,4,4,53,1,I-30,,32.974425,-96.3191,1,1,0,1,0,0,0,3
481766,3,201,0,6,7,2016,4,15,10,4,CR-GREENHOUSE RD,CR-OAK RIDGE PARK DR,29.81176389,-95.7039,2,1,0,1,0,0,0,1
481767,1,419,0,11,7,2016,2,20,15,3,SR-147,,31.70996389,-94.0639,1,1,0,1,0,0,0,1
481768,4,215,5330,15,7,2016,6,12,57,8,FM3461 NOLANA LP,VETERANS RD,26.23103056,-98.161,2,1,0,1,0,0,0,1
481769,4,407,0,15,7,2016,6,17,14,2,US-59,CR-REGENCY DR,30.43468889,-95.0357,2,1,0,1,99,99,99,1
481770,1,485,7490,16,7,2016,7,23,37,8,SL11,,33.92670556,-98.5361,1,1,0,1,0,0,0,1
481771,1,407,0,17,7,2016,1,0,23,8,FM1127,,30.54930556,-94.92,1,1,0,1,0,0,0,1
481772,4,161,2280,18,7,2016,2,9,45,1,I-45,,31.70338611,-96.17299999999999,1,1,0,1,0,0,0,1
481773,1,113,1730,23,6,2016,5,2,0,6,INWOOD RD,,32.88761111,-96.8211,1,1,0,1,0,0,0,1
481774,1,113,1730,25,6,2016,7,1,30,1,I-635 LBJ FWY,,32.8812,-96.6925,1,1,0,1,0,0,0,1
481775,3,113,4530,12,7,2016,3,2,36,1,I-635,,32.80447778,-96.6267,1,10,0,10,20,0,0,2
481776,1,141,2190,14,2,2016,1,13,27,7,I-10,,31.70965,-106.294,1,1,0,1,0,0,0,1
481777,3,21,0,8,7,2016,6,15,9,3,SR-71,,30.05186389,-97.1965,1,1,0,1,0,0,0,1
481778,2,471,5812,8,7,2016,6,13,10,8,FM980,,30.84001944,-95.3939,1,1,0,1,0,0,0,1
481779,2,471,0,10,7,2016,1,7,33,3,SR-75,,30.75240278,-95.6447,1,1,0,1,0,0,0,1
481780,1,121,0,14,7,2016,5,23,30,8,FM2931,,33.24807778,-96.9568,1,1,0,1,0,0,0,1
481781,1,303,4140,15,7,2016,6,22,50,8,FM 1294/DREW ST,,33.69395556,-101.821,1,10,0,10,0,0,0,1
481782,1,141,2190,17,7,2016,1,5,20,6,HONDO PASS DR,,31.86981944,-106.43,1,1,0,1,0,0,0,1
481783,1,209,0,17,7,2016,1,22,4,4,CR-163/NUTTY BROWN RD,,30.17698889,-97.9647,1,1,0,1,0,0,0,1
481784,1,475,0,6,6,2016,2,21,40,1,I-20,,31.49655833,-103.249,1,1,0,1,0,0,0,1
481785,1,119,0,16,6,2016,5,7,0,8,FM 1533,,33.42633611,-95.7446,1,1,0,1,0,0,0,1
481786,1,139,0,27,6,2016,2,7,0,8,FM 85,,32.3183,-96.5274,1,1,0,1,0,0,0,1
481787,1,201,0,12,7,2016,3,0,50,4,CR-WEST RD,,29.91463333,-95.4346,1,1,0,1,0,0,0,1
481788,2,141,2190,14,7,2016,5,22,59,7,SL 375/JOE BATTLE BLVD,,31.75402222,-106.26799999999999,1,1,0,1,0,0,0,1
