COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
61,1,10,1,5,1,3,2,1,1,2,50,2,2,2,1,0,0,0,1,0,0,0,0,1,3,480045,4111,2006,US-281,99999999999999999999,26.05307778,-97.76349722
157,1,10,23,55,1,6,4,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480046,0,2006,GERKEN,99999999999999999999,29.48267778,-95.82485556
235,1,10,19,6,3,3,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480047,0,2006,US-67,99999999999999999999,31.31026944,-100.7906611
355,1,10,6,52,2,16,5,1,3,2,40,1,1,1,2,0,0,0,2,0,0,0,0,1,3,480048,1550,2006,OCEAN,99999999999999999999,27.74211944,-97.3704
215,1,10,20,12,2,15,2,1,3,2,55,9,1,2,1,0,0,2,1,1,0,0,0,1,3,480049,1970,2006,US-83,99999999999999999999,26.18598889,-98.08281944
231,1,11,13,55,1,1,1,1,2,2,70,1,1,1,1,0,0,0,1,0,0,0,0,1,4,480050,0,2006,I-30,99999999999999999999,32.99075833,-96.2539
375,1,11,13,40,5,16,5,2,1,4,35,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480051,150,2006,WESTERN,WINCHESTER,35.19655556,-101.8839333
299,1,12,0,6,3,4,8,1,1,2,50,2,2,2,1,0,0,0,1,0,0,0,0,2,5,480052,9997,2006,RR2147,99999999999999999999,30.52563333,-98.40187222
487,1,12,23,40,1,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480053,0,2006,FM432,99999999999999999999,34.26119167,-99.39364444
113,1,13,7,25,2,16,5,3,2,3,30,1,1,2,1,3,3,0,1,0,0,0,0,1,6,480054,1730,2006,PEARLST,SANJACINTOST,32.78729167,-96.79681667
