COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,WEATHER,latitude,longitud
61,1,15,8,20,3,2,3,1,2,2,55,1,2,1,2,0,0,0,2,0,0,0,0,0,1,2,480047,940,2007,SR-48,99999999999999999999,2,25.95111111,-97.41615278
167,1,15,3,40,1,1,7,1,4,2,50,1,1,2,2,0,0,0,2,8,0,0,0,0,1,2,480048,0,2007,I-45,99999999999999999999,2,29.37190556,-95.00039444
201,1,15,13,36,2,16,5,1,2,1,30,1,1,2,2,98,3,0,2,0,0,0,0,0,1,2,480049,9997,2007,HERITAGE,99999999999999999999,2,29.76971944,-95.53398611
29,1,17,23,40,7,11,1,1,2,4,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480050,6090,2007,I-410,99999999999999999999,1,29.51560556,-98.39654167
201,1,17,6,35,4,12,2,13,6,1,40,1,2,1,4,0,0,0,2,0,2,0,0,0,1,4,480051,3320,2007,US-59RAMP,99999999999999999999,2,30.01883056,-95.26136667
201,1,18,7,20,1,13,7,1,4,3,50,2,1,1,2,0,0,0,2,0,0,0,0,0,1,5,480052,3280,2007,LP8,99999999999999999999,2,,
291,1,10,10,31,1,16,5,6,1,2,30,1,2,2,1,60,3,0,1,0,0,0,0,0,1,4,480053,1380,2007,VINE,99999999999999999999,1,30.34886944,-95.08411944
113,1,1,3,50,2,11,1,15,3,4,60,2,1,2,1,0,0,2,1,0,0,0,0,0,1,2,480054,1730,2007,I-35,99999999999999999999,1,32.77151389,-96.81014167
259,1,1,6,25,1,4,3,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480055,0,2007,SR-46,99999999999999999999,1,29.75888611,-98.79233889
403,1,2,8,55,2,2,2,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,0,1,3,480056,0,2007,US-96,99999999999999999999,1,31.15243889,-93.979025
201,1,3,20,55,3,16,5,1,2,3,35,1,1,3,2,0,0,0,8,0,0,0,0,0,1,4,480057,3280,2007,BEECHNUT,99999999999999999999,8,29.68930556,-95.56518889
