COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,WEATHER
113,1,13,2,20,4,16,5,3,2,3,35,1,1,1,1,3,3,0,1,0,0,0,0,0,1,1,480064,1730,2008,HAMPTON,12,32.74128333,-96.85675,1
149,1,13,0,25,1,4,3,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480065,0,2008,SR-159,99999999999999999999,29.93973611,-96.80691111,1
453,1,13,2,45,1,3,8,1,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480066,0,2008,RM620,99999999999999999999,30.38940833,-97.94091111,1
113,1,14,15,19,10,13,3,1,2,3,45,2,1,2,1,0,0,0,1,0,0,23,0,0,1,2,480067,1730,2008,SR-342,99999999999999999999,32.66844444,-96.78303611,1
157,1,14,22,40,2,13,3,1,2,3,45,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,480068,6660,2008,SR-6,99999999999999999999,29.60072222,-95.62935556,1
221,1,14,14,0,1,4,8,1,1,2,35,2,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480069,0,2008,FM4,99999999999999999999,32.44478611,-97.673275,1
309,1,14,17,7,2,13,2,9,2,2,70,1,1,2,1,3,3,0,1,0,0,0,0,0,1,2,480070,0,2008,US-84,99999999999999999999,31.62416667,-97.03562778,1
409,1,14,18,24,2,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480071,240,2008,A,99999999999999999999,27.90777222,-97.17005833,1
423,1,14,1,42,2,13,2,2,1,4,65,1,1,2,1,3,3,0,1,0,0,0,0,0,1,2,480072,7070,2008,US-271,SR-155,32.42450556,-95.20732222,1
113,1,15,16,15,2,16,5,3,2,3,35,1,1,1,1,2,3,0,1,0,0,0,0,0,1,3,480073,1730,2008,GREENVILLE,MILTON,32.84882222,-96.76997778,1
201,1,15,18,10,2,13,8,1,5,4,40,1,1,1,2,0,0,0,2,0,0,0,0,0,1,3,480074,0,2008,FM1960,99999999999999999999,30.02341111,-95.42158611,2
469,1,15,19,42,3,13,8,1,5,6,45,1,1,2,2,0,0,0,2,0,0,0,0,0,1,3,480075,7190,2008,BU-59T,99999999999999999999,28.81536667,-96.96670556,2
185,1,16,16,15,2,4,8,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,2,4,480076,0,2008,FM244,99999999999999999999,30.54384722,-96.02740556,1
361,1,16,8,20,1,2,3,1,1,2,65,1,1,1,2,0,0,0,2,0,0,0,0,0,1,4,480077,0,2008,SR-87,99999999999999999999,30.05610278,-93.80976667,2
363,1,16,14,0,1,4,7,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480078,0,2008,I-20,99999999999999999999,32.53261389,-98.32195,1
395,1,16,19,40,2,2,3,1,1,2,65,2,2,1,2,0,0,0,1,0,0,0,0,0,1,4,480079,0,2008,SR-6,99999999999999999999,31.12243056,-96.71243056,1
199,1,17,21,10,1,2,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480080,0,2008,US-69,99999999999999999999,30.31517222,-94.25158056,1
201,1,17,10,57,6,16,5,1,3,3,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,480081,0,2008,SAMHOUSTONTOLLWAY,99999999999999999999,29.93772778,-95.46798333,1
485,1,17,17,35,1,5,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480082,0,2008,FM2384,99999999999999999999,33.94642222,-98.83755556,1
1,1,18,21,50,4,13,2,1,2,2,45,1,2,2,2,0,0,0,2,0,0,0,0,0,1,6,480083,5170,2008,US-79,99999999999999999999,31.75793056,-95.64791667,2
113,1,18,12,45,1,11,1,1,2,3,60,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6,480084,1730,2008,I-45,99999999999999999999,32.66855833,-96.73216389,1
113,1,18,14,15,2,16,5,2,2,3,40,1,1,1,1,3,3,0,1,0,0,0,0,0,1,6,480085,1730,2008,FERGUSON,COTILLION,32.85066667,-96.65482778,1
167,1,18,1,29,2,12,8,1,3,2,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6,480086,6860,2008,FM1764,99999999999999999999,29.39928611,-95.01225556,1
327,1,18,21,45,2,3,2,1,1,2,65,1,1,2,2,0,0,0,5,0,0,0,0,0,1,6,480087,0,2008,US-83,99999999999999999999,31.03983611,-99.82151944,5
453,1,18,17,1,3,4,8,1,5,4,60,2,2,2,2,0,0,0,2,0,0,0,0,0,1,6,480088,0,2008,RM2244,99999999999999999999,30.31783056,-97.86089722,2
89,1,19,9,3,4,1,1,1,3,2,70,1,1,2,2,0,0,0,1,0,0,0,0,0,1,7,480089,0,2008,I-10,99999999999999999999,29.74178889,-96.32954444,1
113,1,19,23,30,7,13,8,10,2,6,35,1,1,2,1,3,3,0,1,0,0,0,0,0,1,7,480090,1730,2008,LP12,SR-78,32.83381111,-96.702275,1
121,1,19,23,56,4,4,8,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480091,4007,2008,FM720,99999999999999999999,33.1685,-96.89096944,1
199,1,19,13,0,10,3,8,2,1,2,65,2,1,2,1,0,0,0,1,0,0,14,0,0,1,7,480092,0,2008,FM418,OLD418,30.38230556,-94.30071667,1
203,1,19,11,54,1,4,3,1,1,2,60,1,3,1,1,0,0,0,1,0,0,0,0,0,1,7,480094,0,2008,SR-154,99999999999999999999,32.67176944,-94.65097778,1
361,1,19,18,20,2,5,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480095,0,2008,FM736,99999999999999999999,,,1
441,1,19,13,24,2,16,5,2,1,4,40,1,2,2,1,20,3,0,1,0,0,0,0,0,1,7,480096,30,2008,10TH,WASHINGTON,32.45985278,-99.70977222,1
453,1,19,23,58,1,6,8,1,1,2,45,2,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480097,0,2008,PALEFACERANCH,99999999999999999999,30.43161111,-98.1057,1
491,1,19,22,5,7,3,3,1,1,2,65,1,3,2,1,0,0,0,1,0,0,0,0,0,2,7,480098,0,2008,SR-195,99999999999999999999,30.79886944,-97.76791389,1
439,1,20,23,36,1,16,5,1,2,4,45,2,1,1,1,0,0,0,1,0,0,0,0,0,1,1,480099,2850,2008,FREEPORTPKWY,99999999999999999999,32.983975,-97.02559722,1
439,1,20,14,58,4,6,5,2,1,2,40,2,2,2,1,0,0,0,1,0,0,0,0,0,1,1,480100,0,2008,RETTAMANSFIELD,RENDON,32.55193611,-97.23695,1
71,1,21,14,58,3,1,1,1,3,3,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,480101,0,2008,I-10,99999999999999999999,29.82736944,-94.44576111,1
113,1,21,17,20,2,16,5,1,1,4,35,1,1,1,2,0,0,0,1,0,0,0,0,0,1,2,480102,1730,2008,STAUGUSTINE,99999999999999999999,32.76192222,-96.65684722,1
237,1,21,1,10,2,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480103,0,2008,FM4,99999999999999999999,,,1
401,1,21,17,0,2,4,3,1,1,2,60,1,1,2,2,0,0,0,1,0,0,0,0,0,1,2,480104,0,2008,SR-323,99999999999999999999,32.19313611,-94.853875,1
453,1,21,16,50,3,3,3,1,1,4,65,2,1,2,2,0,0,0,2,0,0,0,0,0,1,2,480105,0,2008,SR-71,99999999999999999999,30.32821111,-98.018325,2
113,1,22,20,39,3,11,1,13,6,1,99,1,2,1,1,0,0,2,1,0,0,0,0,0,1,3,480106,4530,2008,I-30,99999999999999999999,32.82058611,-96.63441111,1
195,1,22,7,0,1,6,4,1,1,2,60,1,1,5,1,0,0,0,1,0,0,0,0,0,1,3,480107,0,2008,CR6,99999999999999999999,36.11496111,-101.5333389,1
201,1,22,9,45,2,12,7,2,4,3,35,1,1,1,2,3,3,0,1,0,0,0,0,0,1,3,480108,5230,2008,SR-225,SHAVER,29.71133333,-95.21163889,1
353,1,22,8,48,2,1,1,1,2,2,70,1,1,2,4,0,0,0,2,0,0,0,0,0,1,3,480109,0,2008,I-20,99999999999999999999,32.4499,-100.4461306,2
21,1,23,21,48,1,3,7,3,4,2,70,2,1,2,2,3,3,0,2,0,0,0,0,0,1,4,480110,460,2008,SR-71,HASLER,30.10670833,-97.33473611,2
215,1,23,8,57,2,6,4,2,1,2,45,1,1,2,2,20,3,0,1,0,0,0,0,0,1,4,480111,0,2008,MINNESOTA,2MILE,26.25066111,-98.37613056,1
381,1,23,18,30,2,4,8,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480112,0,2008,FM2219,99999999999999999999,35.05843889,-102.0951111,1
489,1,23,16,0,4,4,8,2,1,2,55,1,1,2,1,20,3,0,1,0,1,0,0,0,1,4,480113,0,2008,BU77,FM490,26.45219167,-97.78695278,1
113,1,24,6,45,2,16,5,1,2,6,40,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,480114,1730,2008,COCKRELLHILL,99999999999999999999,32.7625,-96.89486944,1
201,1,24,19,34,2,11,1,1,3,3,65,1,2,1,1,0,0,0,1,0,1,0,0,0,1,5,480115,7286,2008,I-45,99999999999999999999,29.51050556,-95.11864444,1
355,1,24,18,58,2,14,5,1,1,2,30,1,1,2,2,0,0,2,2,0,0,0,0,0,1,5,480116,1550,2008,WACO,99999999999999999999,27.79624167,-97.40190556,2
113,1,25,19,55,3,16,5,1,1,2,45,1,1,2,2,0,0,0,2,0,0,0,0,0,1,6,480117,3420,2008,HUNTERFERRELL,99999999999999999999,32.78663889,-96.94862778,2
201,1,25,2,51,3,1,1,1,2,4,65,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6,480118,0,2008,I-45,99999999999999999999,30.11324167,-95.43723333,1
439,1,25,0,36,1,11,1,1,2,3,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480119,2450,2008,I-35,99999999999999999999,32.87853889,-97.31738056,1
439,1,25,23,21,2,11,1,1,3,3,99,1,1,1,1,0,0,0,1,0,1,0,0,0,1,6,480120,2450,2008,I-35,99999999999999999999,32.64096389,-97.32153611,1
29,1,26,0,26,1,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480121,6090,2008,CEDARPARK,99999999999999999999,29.55308889,-98.64250278,1
157,1,26,13,36,2,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480122,0,2008,FM359,99999999999999999999,29.71324167,-95.91965556,1
167,1,26,2,18,1,1,1,1,3,3,65,1,1,2,2,0,0,0,2,0,0,0,0,0,1,7,480123,0,2008,I-45,99999999999999999999,29.32621111,-94.92772222,2
467,1,26,1,0,2,4,8,1,1,2,55,2,2,2,1,0,0,0,1,0,0,0,0,0,2,7,480124,0,2008,FM2339,99999999999999999999,32.35551111,-95.69738611,1
