ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480072,1,201,3280,16,1,2012,2,20,58,16,5,LITTLE YOUR RD,N WAYSIDE DR,29.87186111,-95.2822,2,2,0,2,0,0,0,1
480073,3,85,4230,17,1,2012,3,19,18,13,2,US-380 UNIVERSITY DR,N RIDGE RD,33.21800833,-96.6973,3,1,0,1,0,0,0,1
480075,1,201,0,17,1,2012,3,19,57,6,4,CR-AIRLINE DR,,29.87945278,-95.3888,1,1,0,1,0,0,0,1
480076,5,29,6090,18,1,2012,4,19,35,16,5,CULEBRA RD,,29.44843056,-98.5975,1,1,0,1,0,0,0,1
480077,1,91,4870,19,1,2012,5,22,5,13,3,SR-46,,29.72144444,-98.1791,1,1,0,1,0,0,0,1
480078,4,375,150,19,1,2012,5,21,27,11,1,I-40,,35.19320556,-101.694,1,1,0,1,0,0,0,1
480079,2,485,0,19,1,2012,5,0,56,2,2,US-82 SEYMOUR HWY,,33.85755556,-98.6396,1,1,0,1,0,0,0,1
480080,2,29,6090,20,1,2012,6,6,49,16,5,E MAINLAND DR,,29.50907222,-98.6441,1,5,0,5,0,0,0,1
480081,1,29,6090,21,1,2012,7,18,41,13,8,FM 1976 WALZEM RD,PATRIOT DR,29.51028889,-98.3851,3,1,0,1,0,0,0,1
480082,3,201,480,21,1,2012,7,1,7,12,3,SR-146,,29.74798056,-94.9851,1,1,0,1,0,0,0,1
480084,4,375,150,22,1,2012,1,1,15,13,8,BI 40 AMARILLO BLVD,FLORIDA ST,35.222075,-101.868,2,1,0,1,0,0,0,2
480085,1,439,6485,22,1,2012,1,19,54,16,5,DOVE RD,,32.97053333,-97.1671,1,1,0,1,20,0,0,1
480086,1,201,0,23,1,2012,2,23,10,6,5,JONES,,29.92616389,-95.5849,1,1,0,1,0,0,0,1
480087,1,453,330,23,1,2012,2,22,26,12,7,US-183,,30.43228889,-97.7647,1,1,0,1,0,0,0,1
480088,3,27,570,25,1,2012,4,4,50,13,2,US-190,,31.05032778,-97.49,1,2,0,2,0,0,0,1
480089,1,423,0,27,1,2012,6,20,48,2,3,SR-64,,32.33284444,-95.2473,1,1,0,1,0,0,0,1
480090,1,29,6090,28,1,2012,7,20,28,11,7,I-35 RANDOLPH BLVD,,29.52402778,-98.3906,1,1,0,1,0,0,0,1
480091,2,85,0,1,1,2012,1,6,40,4,8,FM 545,,33.29458056,-96.4827,1,1,0,1,0,0,0,2
480092,2,201,3280,1,1,2012,1,1,33,16,5,STANCLIFF RD,,29.65984444,-95.5713,1,1,0,1,0,0,0,1
480093,4,355,1550,1,1,2012,1,2,17,13,8,FM 655 OLD BROWNSVILLE RD,,27.76760278,-97.445,1,5,0,5,0,0,0,1
480094,2,119,0,4,1,2012,4,18,5,3,3,SR-19,,33.46225,-95.588,1,10,0,10,0,0,0,1
480095,6,113,1730,6,1,2012,6,10,30,16,5,HAMPTON RD,JEFFERSON BLVD,32.74746944,-96.8568,2,1,0,1,0,0,0,1
480096,2,273,0,6,1,2012,6,19,2,2,2,US-77,,27.43278889,-97.8547,1,1,0,1,0,0,0,1
480097,5,201,3280,9,1,2012,2,13,50,11,1,I-610,,29.73773611,-95.2652,1,2,0,2,0,0,0,1
480098,3,7,0,11,1,2012,4,7,13,3,3,SR-35,,28.18085833,-96.9948,1,1,0,1,0,0,0,3
480099,1,281,0,13,1,2012,6,17,43,4,8,FM 1715,,31.09870833,-98.1015,1,1,0,1,0,0,0,1
480100,2,287,0,15,1,2012,1,3,45,2,3,SR-21,,30.23264167,-97.0669,1,1,0,1,0,0,0,1
480101,2,113,2590,17,1,2012,3,6,58,16,5,BROADWAY BLVD,,32.83942222,-96.5957,1,1,0,1,0,0,0,1
480102,3,201,3280,17,1,2012,3,20,16,16,5,HILLCROFT AVE,SKYLINE DR,29.72803889,-95.5012,3,1,0,1,0,0,0,1
480103,5,209,6170,17,1,2012,3,20,44,13,3,SR-123,,29.86618611,-97.9386,1,1,0,1,0,0,0,1
480104,3,351,0,17,1,2012,3,13,10,4,3,SR-87,FM363,30.69244167,-93.8226,2,10,0,10,0,0,0,1
480105,1,201,3280,18,1,2012,4,9,52,16,5,MEMORIAL DR,,29.76244167,-95.3818,1,99,0,99,0,0,0,1
480106,1,355,1550,19,1,2012,5,3,10,12,3,SR-286 CROSSTOWN EXPY,,27.77933056,-97.4106,1,10,0,10,0,0,0,1
480107,1,113,1730,20,1,2012,6,16,22,11,1,I-635 LBJ FWY,,32.92450833,-96.7683,1,1,0,1,0,0,0,1
480108,1,145,0,20,1,2012,6,6,4,3,2,US-77,,31.13563056,-97.0029,1,5,0,5,0,0,0,1
480109,8,187,6290,20,1,2012,6,12,26,13,8,BS123B N AUSTIN ST,W HUMPHREYS ST,29.57646667,-97.9647,2,10,0,10,0,0,0,1
480110,2,113,1730,22,1,2012,1,23,10,11,7,I-30 RAMP,,32.87592778,-96.521,1,1,0,1,0,0,0,1
480111,1,113,1730,22,1,2012,1,2,59,16,5,BRUTON RD,,32.74861944,-96.6527,1,10,0,10,0,0,0,1
480112,3,139,4570,22,1,2012,1,2,33,14,8,FM 663,BU 287Q,32.48223889,-96.9932,3,2,0,2,0,0,0,1
480113,1,285,0,22,1,2012,1,15,17,4,3,SR-111,,29.17120278,-96.9296,1,10,0,10,0,0,0,1
480114,5,423,0,23,1,2012,2,11,44,4,8,FM 848 BASCOM RD,,32.27569167,-95.1957,1,1,0,1,0,0,0,1
480115,1,113,1730,24,1,2012,3,22,10,16,5,WALNUT HILL LN,,32.88118333,-96.8865,1,2,0,2,0,0,0,1
480116,3,457,0,24,1,2012,3,16,28,4,8,FM 1013,,30.67859167,-94.3301,1,2,0,2,0,0,0,2
480117,1,39,0,25,1,2012,4,4,59,6,4,CR-543,,29.12690278,-95.3922,1,10,0,10,0,0,0,1
480118,2,141,2190,26,1,2012,5,19,58,16,5,AIRWAY BLVD,,31.78402222,-106.396,1,1,0,1,0,0,0,1
480119,2,37,6850,27,1,2012,6,13,1,13,3,SR-93 LAKE DR,,33.40391111,-94.0647,1,1,0,1,0,0,0,1
480120,1,439,2450,27,1,2012,6,5,29,12,3,SR-199 JACKSBORO HWY,,32.78628889,-97.3842,1,1,0,1,0,0,0,1
480121,2,113,1730,31,1,2012,3,15,15,13,8,SL12 N WALTON WALKER BLVD,,32.76292778,-96.9151,1,1,0,1,20,0,0,1
480122,2,199,0,31,1,2012,3,11,25,3,8,FM418,,30.36846111,-94.2064,1,10,0,10,0,0,0,1
480123,5,121,3960,1,1,2012,1,0,33,16,5,SAM RAYBURN TOLLWAY,,33.03890278,-96.9229,1,1,0,1,19,23,0,1
480124,1,227,640,3,1,2012,3,13,0,13,2,US-87 S GREGG ST,BI20 W 4TH ST,32.25029722,-101.478,2,1,0,1,0,0,0,1
480125,3,291,0,6,1,2012,6,16,6,4,8,FM834,FM770,30.15956389,-94.6449,2,1,0,1,0,0,0,2
480126,1,121,1730,7,1,2012,7,22,1,16,5,PRESIDENT GEORGE BUSH TPKE,,32.99961667,-96.8578,1,10,0,10,0,0,0,1
480127,2,201,3280,7,1,2012,7,10,2,19,1,I-610,UA90,29.67800278,-95.4271,2,10,0,10,0,0,0,1
480128,1,89,0,8,1,2012,1,2,13,1,1,I-10,,29.69021111,-96.7066,1,10,0,10,0,0,0,1
480130,2,291,0,8,1,2012,1,18,50,3,8,FM1960,,30.04578889,-95.0025,1,10,0,10,0,0,0,1
480131,2,395,0,9,1,2012,2,8,0,2,2,US-190,,30.84658333,-96.5576,1,2,0,2,0,0,0,1
480133,1,305,0,11,1,2012,4,21,26,4,8,FM 1730,,33.38788889,-101.929,1,1,0,1,0,0,0,1
480134,3,473,0,12,1,2012,5,2,20,1,1,I-10,,29.77475,-96.0201,1,1,0,1,23,0,0,2
480135,2,135,0,13,1,2012,6,2,30,2,2,US-385,,31.797525,-102.366,1,1,0,1,0,0,0,2
480136,3,215,50,13,1,2012,6,22,51,13,8,BU-83S,13TH ST,26.18456667,-98.1276,2,1,0,1,0,0,0,1
480137,2,291,0,13,1,2012,6,15,42,5,8,FM 1909,,30.05006944,-94.7191,1,1,0,1,0,0,0,1
480138,3,489,0,13,1,2012,6,12,50,3,3,SR-186,CR-45,26.48351667,-97.9387,3,1,0,1,0,0,0,1
480139,4,61,0,14,1,2012,7,1,15,3,3,SR-4,,25.95441389,-97.3156,1,1,0,1,0,0,0,1
480140,1,157,0,15,1,2012,1,6,0,2,2,US-59,,29.47995,-95.9455,1,1,0,1,0,0,0,1
480141,5,187,4870,15,1,2012,1,5,17,13,3,SR-46,,29.66429444,-98.0513,1,1,0,1,0,0,0,1
480142,4,315,0,15,1,2012,1,10,45,4,8,FM 248,,32.82740556,-94.3118,1,1,0,1,0,0,0,1
480143,2,475,0,15,1,2012,1,22,5,1,1,I-20,,31.54303333,-103.055,1,1,0,1,0,0,0,2
480144,2,507,0,16,1,2012,2,15,0,9,2,US-83,,28.85764167,-99.8528,1,1,0,1,0,0,0,1
480145,3,355,5850,17,1,2012,3,13,54,12,2,US-77,,27.79124444,-97.6544,1,1,0,1,0,0,0,1
480146,2,409,0,17,1,2012,3,18,45,2,2,US-77,,28.03026389,-97.5304,1,1,0,1,0,0,0,1
480147,1,201,3280,18,1,2012,4,16,18,16,5,TEXACO RD,,29.79992222,-95.2156,1,1,0,1,0,0,0,1
480148,3,423,0,18,1,2012,4,21,35,6,4,CR-1178,,32.18751389,-95.4392,1,1,0,1,0,0,0,1
480149,3,423,0,19,1,2012,5,11,30,3,3,SR-31,,32.36835833,-95.0789,1,1,0,1,0,0,0,1
480150,1,113,1730,21,1,2012,7,18,44,13,8,SL 12,,32.693325,-96.7747,1,1,0,1,0,0,0,1
480151,1,201,3280,21,1,2012,7,19,45,16,5,JENSEN DR,,29.84596389,-95.3429,1,1,0,1,0,0,0,1
480152,3,493,0,21,1,2012,7,4,10,2,2,US-181,,29.19575556,-98.2047,1,5,0,5,0,0,0,1
480153,3,89,0,24,1,2012,3,11,58,3,3,SR-71,,29.55016944,-96.4548,1,2,0,2,0,0,0,2
