YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2013,1,10084,115,1,1,4,1,2,4,2,6,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10085,73,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2013,1,10086,3,1,1,4,2,2,1,2,3,2,3,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10087,73,1,1,4,2,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2013,1,10088,43,1,1,4,1,1,4,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10089,79,1,1,4,1,2,4,2,3,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10090,109,1,1,4,1,2,4,2,4,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10091,21,1,1,4,1,2,4,2,4,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,0,0,0
2013,1,10092,101,2,1,4,1,2,1,2,5,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10093,19,1,1,4,1,2,4,2,6,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10094,97,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10095,115,1,1,4,1,2,4,2,6,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10096,101,1,1,4,2,2,4,2,4,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10097,9,1,1,4,1,2,4,2,4,2,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,1,1,2,2,1,1,2,2,2,0,0,0
2013,1,10098,125,1,1,4,2,2,4,2,4,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,0,0,0
2013,1,10099,3,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10100,43,1,1,4,1,2,4,2,5,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2013,1,10101,117,1,1,4,1,2,4,2,4,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10102,63,1,1,4,1,2,4,2,6,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10103,21,1,1,4,1,1,1,2,1,2,2,1,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2013,1,10104,97,1,1,4,2,2,1,2,4,3,4,1,1,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
2013,1,10105,97,1,1,4,2,2,4,2,4,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2013,1,10106,103,1,1,4,1,2,4,2,4,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10107,69,1,1,4,2,2,3,2,3,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2013,1,10108,99,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10109,105,1,1,4,1,2,1,2,5,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10110,55,1,1,4,2,2,4,2,3,2,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
2013,1,10111,73,1,1,4,2,2,4,2,5,2,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2013,1,10112,121,2,1,4,1,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10113,97,1,1,4,2,2,1,2,3,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2013,1,10114,55,1,1,4,2,2,1,1,3,1,4,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2013,1,10115,7,1,1,4,1,2,3,2,3,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10116,63,1,1,4,1,2,4,2,5,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
2013,1,10117,93,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2013,1,10118,91,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2013,1,10119,23,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2013,1,10120,113,1,1,4,1,2,4,2,6,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2013,1,10121,93,1,1,4,1,2,1,1,4,1,4,1,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2013,1,10122,115,2,1,4,1,2,1,2,5,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
2013,1,10123,1,2,1,4,1,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
