ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10189,1998,0,0,11,0,0,0,0,0,0,0
10190,1998,14,14,14,14,14,14,14,14,14,14
10191,1998,0,0,0,0,0,0,0,0,0,0
10192,1998,0,0,0,0,0,0,0,0,0,0
10193,1998,16,16,16,16,16,16,16,16,16,16
10194,1998,0,0,0,0,0,0,0,0,0,0
10195,1998,0,0,0,0,0,0,0,0,0,0
10196,1998,0,0,0,0,0,0,0,0,0,0
10197,1998,0,0,0,0,0,0,0,0,0,0
10198,1998,0,0,0,0,9,0,0,0,0,0
10199,1998,12,44,22,16,24,22,23,7,14,18
10200,1998,0,0,0,0,0,0,0,0,0,0
10201,1998,7,7,7,7,7,7,7,7,7,7
10202,1998,17,17,17,17,17,17,17,17,17,17
10203,1998,11,0,0,0,0,7,0,0,0,0
10204,1998,30,30,30,30,30,30,30,30,30,30
10205,1998,0,3,0,0,0,0,0,0,0,0
10206,1998,0,0,0,0,17,0,0,0,0,15
10207,1998,0,0,0,0,0,0,0,0,0,0
10208,1998,0,0,0,0,0,0,0,0,0,0
10209,1998,0,0,0,0,0,0,0,0,0,0
10210,1998,23,15,0,2,9,21,11,0,20,10
10211,1998,19,19,14,30,20,13,14,26,17,21
10212,1998,0,0,0,27,0,0,0,0,6,0
10213,1998,0,0,0,0,0,0,0,0,0,0
10214,1998,23,23,23,23,23,23,23,23,23,23
10215,1998,0,0,0,0,0,0,0,0,0,0
10216,1998,0,0,0,0,14,0,7,30,0,7
10217,1998,12,31,6,18,9,11,24,13,18,26
10218,1998,0,0,0,29,0,0,0,0,0,0
10219,1998,14,14,14,14,14,14,14,14,14,14
10220,1998,18,18,18,18,18,18,18,18,18,18
10221,1998,0,0,0,0,0,0,0,0,0,0
10222,1998,19,9,15,28,21,0,19,0,14,23
10223,1998,15,15,15,15,15,15,15,15,15,15
10224,1998,23,26,17,25,18,27,10,2,12,20
10225,1998,0,0,0,0,0,0,0,7,0,0
10226,1998,6,6,6,6,6,6,6,6,6,6
10227,1998,32,0,28,10,13,19,17,20,12,26
10228,1998,0,0,0,0,0,0,0,0,0,0
10229,1998,4,4,4,4,4,4,4,4,4,4
10230,1998,19,14,26,15,22,25,18,15,8,31
10231,1998,0,4,0,0,0,0,0,0,0,0
10232,1998,0,14,9,2,0,0,0,0,0,18
10233,1998,0,0,0,0,0,0,0,0,0,0
10234,1998,0,17,21,0,22,0,25,19,0,18
10235,1998,19,0,0,0,0,0,0,0,0,0
10236,1998,0,0,0,0,0,0,0,0,0,0
10237,1998,0,0,0,16,10,0,19,26,0,0
10238,1998,14,14,14,14,14,14,14,14,14,14
10239,1998,8,8,8,8,8,8,8,8,8,8
10240,1998,0,0,0,0,0,0,0,0,0,0
10241,1998,0,0,25,0,0,0,0,0,0,17
10242,1998,0,0,0,0,0,0,0,0,0,0
10243,1998,18,18,18,18,18,18,18,18,18,18
10244,1998,0,16,0,0,22,15,13,0,0,12
10245,1998,21,12,10,7,15,23,15,9,20,9
10246,1998,0,0,0,0,0,0,0,0,0,0
10247,1998,0,0,0,0,0,0,0,0,0,0
10248,1998,0,0,0,0,0,0,0,10,0,0
10249,1998,0,0,0,0,0,0,0,0,0,0
10250,1998,10,8,13,3,0,10,0,20,0,6
10251,1998,0,36,0,0,0,0,0,0,27,0
10252,1998,0,0,0,0,0,0,0,0,0,0
10253,1998,0,0,0,0,0,0,0,0,0,0
10254,1998,0,0,0,0,0,0,0,0,0,0
10255,1998,20,20,20,20,20,20,20,20,20,20
10256,1998,20,0,0,0,0,0,43,25,29,0
10257,1998,24,24,24,24,24,24,24,24,24,24
10258,1998,0,0,0,0,0,0,0,0,0,0
10259,1998,0,0,0,0,0,0,0,0,0,0
10260,1998,10,27,12,0,8,11,9,19,0,9
10261,1998,21,17,24,26,12,19,9,17,15,21
10262,1998,0,0,0,0,0,0,0,0,0,17
10263,1998,0,0,0,0,0,0,0,0,0,0
10264,1998,7,0,10,24,21,0,10,19,3,11
10265,1998,24,24,24,24,24,24,24,24,24,24
10266,1998,23,24,17,43,17,20,21,19,33,16
10267,1998,37,37,37,37,37,37,37,37,37,37
10268,1998,26,8,14,0,8,25,12,17,14,0
10269,1998,0,0,0,0,0,0,0,0,0,2
10270,1998,26,26,26,26,26,26,26,26,26,26
10271,1998,0,0,0,0,0,0,0,0,0,0
10272,1998,0,0,0,0,0,0,0,0,0,0
10273,1998,0,0,0,0,0,0,0,0,0,0
10274,1998,0,0,0,0,0,0,0,0,0,0
10275,1998,29,29,29,29,29,29,29,29,29,29
10276,1998,0,0,0,0,0,0,0,0,0,0
10277,1998,12,12,12,12,12,12,12,12,12,12
10278,1998,0,0,0,0,0,0,0,0,0,0
10279,1998,15,15,15,15,15,15,15,15,15,15
10280,1998,16,18,13,10,23,15,15,15,16,16
10281,1998,0,0,0,0,0,0,0,0,0,0
10282,1998,27,7,17,0,9,31,19,12,21,10
10283,1998,3,3,3,3,3,3,3,3,3,3
10284,1998,0,0,0,0,5,0,13,17,0,15
10285,1998,0,0,0,0,0,0,0,0,21,0
10286,1998,0,0,0,0,0,0,11,0,0,0
10287,1998,0,0,0,0,0,0,0,0,0,0
10288,1998,4,4,4,4,4,4,4,4,4,4
10289,1998,0,19,0,12,10,0,4,11,15,28
10290,1998,45,0,0,0,5,0,15,0,0,0
10291,1998,0,0,25,0,0,0,0,0,0,0
10292,1998,0,0,0,0,0,0,0,0,0,0
10293,1998,0,14,0,0,0,0,0,0,0,0
10294,1998,0,0,0,0,0,0,0,0,0,0
10295,1998,27,20,13,33,18,6,0,8,18,0
10296,1998,24,24,24,24,24,24,24,24,24,24
10297,1998,0,0,17,4,12,0,26,0,26,0
10298,1998,0,11,0,0,0,0,29,0,0,0
10299,1998,0,0,0,0,0,0,0,0,0,0
10300,1998,0,0,0,0,0,0,0,0,0,16
10301,1998,0,0,0,0,0,0,0,0,0,0
10302,1998,0,0,0,0,0,0,0,0,0,0
10303,1998,3,7,14,19,22,25,18,22,30,8
10304,1998,0,0,0,0,0,0,0,0,0,0
10305,1998,40,18,0,9,14,16,21,17,14,26
10306,1998,0,0,0,0,0,0,0,0,0,0
10307,1998,0,0,0,0,0,0,0,0,0,0
10308,1998,0,0,0,0,0,0,0,0,0,0
10309,1998,0,12,0,11,25,0,0,0,0,0
10310,1998,27,27,27,27,27,27,27,27,27,27
10311,1998,12,29,23,7,13,18,14,21,17,0
10312,1998,0,0,0,0,0,0,0,0,0,0
10313,1998,0,0,0,0,0,0,0,0,0,0
10314,1998,42,17,17,17,12,10,0,29,14,26
10315,1998,0,0,0,0,0,0,0,0,0,0
10316,1998,0,0,0,0,0,0,0,0,0,0
10317,1998,0,0,0,0,0,6,0,0,0,0
10318,1998,12,26,12,10,12,18,13,15,0,19
10319,1998,25,25,25,25,25,25,25,25,25,25
10320,1998,0,0,0,13,0,11,0,0,0,0
10321,1998,17,17,17,17,17,17,17,17,17,17
10322,1998,0,0,0,9,0,8,0,0,0,13
10323,1998,25,19,12,26,14,27,3,25,0,12
10324,1998,9,18,20,18,19,28,26,0,15,27
10325,1998,0,0,0,0,0,0,0,16,12,0
10326,1998,0,0,0,0,0,0,0,0,0,0
10327,1998,0,0,14,0,0,0,15,5,9,0
10328,1998,0,0,0,0,0,0,0,0,0,0
10329,1998,21,25,6,7,25,15,18,15,33,26
10330,1998,0,0,0,0,17,0,0,0,19,0
10331,1998,13,7,0,0,0,11,0,15,9,20
10332,1998,0,0,0,0,0,0,0,8,0,0
10333,1998,0,0,0,0,0,0,0,0,0,0
10334,1998,0,0,23,0,0,0,0,19,0,0
10335,1998,21,21,21,21,21,21,21,21,21,21
10336,1998,9,9,9,9,9,9,9,9,9,9
10337,1998,0,0,0,0,0,17,0,0,0,0
10338,1998,9,9,9,9,9,9,9,9,9,9
10339,1998,0,36,0,0,21,0,8,0,0,0
10340,1998,0,14,0,3,22,29,0,0,26,29
10341,1998,0,0,0,0,0,0,0,0,0,0
10342,1998,0,0,0,0,0,0,0,0,0,0
10343,1998,18,11,31,11,14,11,11,11,11,11
10344,1998,0,0,0,0,0,0,0,0,0,0
10345,1998,0,0,0,0,0,0,0,0,0,0
10346,1998,16,28,18,16,2,8,16,16,16,15
10347,1998,5,20,0,0,22,0,17,25,22,0
10348,1998,0,0,0,0,0,0,0,0,0,0
10349,1998,0,0,0,0,0,0,16,0,0,0
10350,1998,35,0,0,0,0,11,14,0,0,0
10351,1998,29,11,16,10,23,18,15,17,15,13
10352,1998,0,0,0,0,0,0,0,0,0,0
10353,1998,0,0,0,0,26,0,0,0,0,0
10354,1998,0,0,0,0,0,0,0,9,0,0
10355,1998,0,0,0,0,0,0,0,0,0,0
10356,1998,18,18,18,18,18,18,18,18,18,18
10357,1998,0,0,0,0,0,0,0,0,0,0
10358,1998,0,0,0,0,0,0,0,0,0,0
10359,1998,0,14,13,0,0,27,19,17,14,33
10360,1998,0,15,42,18,6,21,22,7,33,14
10361,1998,7,0,0,0,0,0,0,0,0,0
10362,1998,0,0,0,0,0,0,0,0,0,0
10363,1998,0,0,0,0,16,0,0,11,0,0
10364,1998,20,20,20,20,20,20,20,20,20,20
10365,1998,0,3,0,0,0,0,9,0,0,0
10366,1998,27,5,0,0,0,17,0,0,10,5
10367,1998,0,0,0,0,0,0,0,0,0,0
10368,1998,0,0,0,0,0,0,0,0,0,0
10369,1998,0,0,0,0,0,0,0,0,0,0
10370,1998,0,22,24,15,19,18,11,16,23,23
10371,1998,8,24,17,13,17,19,36,18,24,23
10372,1998,10,10,10,10,10,10,10,10,10,10
10373,1998,22,22,22,22,22,22,22,22,22,22
10374,1998,0,0,0,0,0,0,0,0,0,0
10375,1998,0,0,0,0,0,0,0,0,0,0
10376,1998,7,0,0,0,0,0,0,0,0,0
10377,1998,0,0,0,0,0,0,0,0,0,0
10378,1998,23,16,0,20,21,0,24,0,27,9
10379,1998,11,10,16,19,16,29,10,18,45,2
