VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_CARG,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,ST_CASE,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_ID,FLDCD_TR,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1FAPP6048KH1,1,F,A,P,P,6,0,4,8,K,H,1,12,2,0,12,4,2,12,6,0,0,99,0,0,0,0,0,0,0,3,3,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121744,12004,1989,THU,***,2D,00000000000,*,1130,0,,3542,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,33,0,0,1
1FUYDZYB0WL7,1,F,U,Y,D,Z,Y,B,0,W,L,7,12,2,0,82,881,66,12,6,0,0,99,0,0,5,3,96,0,0,12,12,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,3,121880,82881,1998,FLD,CON,DS,121326484,D,9999,9999,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,1,14,2,0,1
3FRNX65N64V6,3,F,R,N,X,6,5,N,6,4,V,6,12,2,1,12,881,62,12,6,0,0,99,0,0,1,2,3,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,3,121970,12881,2004,F66,COF,CS,88888888888,D,9999,9999,,,6,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,14,9,0,1
JL6CCD1S26K0,J,L,6,C,C,D,1,S,2,6,K,0,12,2,0,52,882,62,12,6,0,0,99,0,0,1,2,1,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,2,121983,52882,2006,85D,FE8,TB,88888888888,D,9999,9999,,,5,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,1,0,2
2FAFP71W12X1,2,F,A,F,P,7,1,W,1,2,X,1,12,2,1,12,16,4,12,6,0,0,99,0,0,0,0,0,5,0,10,10,0,6,2,9,0,0,0,99,8,12,1,99,99,99,99,99,99,17,0,0,2,122086,12016,2002,CVP,***,4D,00000000000,*,1147,0,,9999,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,14,6,0,1
KMHCG45C02U3,K,M,H,C,G,4,5,C,0,2,U,3,12,3,0,55,36,4,12,6,0,0,99,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,122101,55036,2002,AGL,***,4D,00000000000,*,961,0,,2350,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,5,0,2
WBACB4325SFM,W,B,A,C,B,4,3,2,5,S,F,M,12,4,0,34,34,4,12,6,0,0,99,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,122101,34034,1995,25I,***,4D,00000000000,*,1063,0,,3164,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,5,0,2
JNAMB33H64AH,J,N,A,M,B,3,3,H,6,4,A,H,12,2,0,98,808,62,12,6,0,0,99,0,0,1,2,98,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,2,122121,98808,2004,UD2,UDS,TB,88888888888,D,9999,9999,,,5,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,14,1,0,1
1FTYY95L1PVA,1,F,T,Y,Y,9,5,L,1,P,V,A,12,3,0,12,881,63,12,3,0,0,99,0,0,1,2,98,0,0,12,12,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,4,122137,12881,1993,TA9,COL,TM,99999999999,D,1430,2390,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,1,1,2
1FTYR10U92PA,1,F,T,Y,R,1,0,U,9,2,P,A,12,2,1,12,471,30,12,6,0,0,99,0,0,0,0,0,0,0,9,9,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,122149,12471,2002,RNG,RNG,PK,00000000000,G,1116,1175,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,8,0,0,1
