st_case,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10197,0,0,0,16,0,0,0,0,0,0,2001
10198,22,2,23,21,18,14,0,25,15,36,2001
10199,0,10,0,5,0,0,0,0,0,0,2001
10200,23,20,10,10,24,26,18,18,45,32,2001
10201,10,7,12,14,23,11,8,11,12,10,2001
10202,0,0,0,0,0,0,0,0,0,0,2001
10203,0,0,0,2,0,0,0,0,7,0,2001
10204,19,0,10,0,0,0,8,0,0,0,2001
10205,0,0,0,0,0,0,0,0,16,0,2001
10206,19,19,19,19,19,19,19,19,19,19,2001
10207,0,20,0,0,0,0,11,0,0,0,2001
10208,0,0,0,0,0,0,12,11,0,0,2001
10209,0,0,0,0,0,0,0,0,0,0,2001
10210,0,0,13,0,0,6,0,0,0,0,2001
10211,9,0,9,0,0,0,10,25,0,0,2001
10212,13,23,29,21,30,14,23,35,13,12,2001
10213,0,0,0,0,0,0,0,0,0,0,2001
10214,0,0,0,17,0,0,0,0,0,0,2001
10215,0,0,0,18,0,0,0,5,0,5,2001
10216,32,15,31,11,11,45,15,17,13,5,2001
10217,20,0,17,34,0,5,28,0,9,12,2001
10218,0,19,17,0,6,20,0,14,0,27,2001
10219,34,19,9,3,23,38,0,26,17,17,2001
10220,0,0,0,0,0,0,0,0,0,0,2001
10221,0,0,0,0,0,0,0,0,0,0,2001
10222,25,25,25,25,25,25,25,25,25,25,2001
10223,0,11,0,9,0,18,28,0,28,0,2001
10224,0,0,0,0,0,0,0,0,0,0,2001
10225,27,27,27,27,27,27,27,27,27,27,2001
10226,0,0,0,0,0,0,0,0,0,0,2001
10227,0,0,0,0,0,0,0,0,0,0,2001
10228,0,0,0,0,0,0,42,0,0,0,2001
10229,0,13,24,0,16,9,11,33,22,12,2001
10230,0,0,0,0,22,0,0,0,0,0,2001
10231,31,18,21,0,21,18,9,18,27,18,2001
10232,0,0,0,0,0,0,0,0,0,0,2001
10233,0,17,0,21,27,40,14,13,10,12,2001
10234,0,23,0,0,0,0,0,0,0,0,2001
10235,0,0,0,0,0,0,0,0,0,0,2001
10236,11,10,0,23,15,4,20,24,0,18,2001
10237,20,13,31,0,24,36,23,0,26,24,2001
10238,0,0,0,0,0,0,0,0,0,0,2001
10239,33,16,11,27,0,0,17,19,0,0,2001
10240,0,0,0,0,13,13,0,0,0,0,2001
10241,14,8,14,24,14,6,9,11,8,15,2001
10242,0,0,7,0,0,0,0,0,0,0,2001
10243,8,14,8,9,0,7,19,25,8,16,2001
10244,0,0,0,16,0,0,0,0,0,0,2001
10245,0,0,0,0,0,0,0,0,0,0,2001
10246,19,19,0,0,9,6,12,15,16,17,2001
10247,24,18,24,20,11,11,20,4,16,9,2001
10248,22,20,31,34,32,16,7,25,8,37,2001
10249,0,0,0,0,0,0,0,0,0,0,2001
10250,0,4,0,0,0,0,0,0,0,16,2001
10251,0,0,0,0,0,0,0,0,0,0,2001
10252,19,19,19,19,19,19,19,19,19,19,2001
10253,0,0,0,0,0,0,0,4,0,0,2001
10254,27,27,27,27,27,27,27,27,27,27,2001
10255,0,0,0,0,0,0,0,0,0,0,2001
10256,0,0,0,0,0,26,0,0,0,0,2001
10257,0,30,0,16,0,0,0,0,0,0,2001
10258,14,14,14,14,14,14,14,14,14,14,2001
10259,0,0,0,0,0,0,0,0,0,0,2001
10260,3,23,31,4,31,19,0,22,16,0,2001
10261,0,13,0,0,0,0,14,0,12,0,2001
10262,16,16,16,16,16,16,16,16,16,16,2001
10263,25,14,28,10,15,17,19,0,12,30,2001
10264,27,19,22,17,32,0,20,34,20,32,2001
10265,0,0,11,0,16,0,0,0,0,0,2001
10266,0,0,0,0,0,0,0,19,0,0,2001
10267,0,0,0,0,0,0,0,0,0,0,2001
10268,0,0,0,0,0,0,0,0,0,0,2001
10269,8,2,18,17,17,9,12,36,17,27,2001
10270,0,0,0,0,0,0,0,0,0,0,2001
10271,0,0,0,0,0,0,0,0,0,0,2001
10272,0,0,0,0,0,0,0,0,0,0,2001
10273,0,0,0,0,0,0,0,0,0,0,2001
10274,25,25,25,25,25,25,25,25,25,25,2001
10275,13,13,13,13,13,13,13,13,13,13,2001
10276,0,0,0,0,0,0,0,0,0,0,2001
10277,0,13,0,0,0,0,0,0,0,0,2001
10278,0,0,0,0,0,0,0,0,0,0,2001
10279,0,0,0,0,0,0,0,0,0,0,2001
10280,0,0,0,0,0,0,0,0,0,0,2001
10281,0,0,0,10,0,0,0,0,0,0,2001
10282,28,15,22,15,16,16,16,19,32,15,2001
10283,0,10,0,0,0,17,0,0,0,0,2001
10284,0,0,0,0,0,18,0,0,0,0,2001
10285,0,0,10,0,0,0,0,0,0,0,2001
10286,14,0,26,29,11,27,0,6,0,3,2001
10287,21,19,0,26,0,0,43,8,20,0,2001
10288,21,18,20,15,35,17,10,16,9,4,2001
10289,0,27,0,24,12,27,0,0,16,29,2001
10290,0,0,0,0,0,0,0,0,0,0,2001
10291,0,0,0,0,0,0,0,0,5,0,2001
10292,0,7,18,21,16,21,14,8,15,30,2001
10293,0,0,0,0,21,0,21,0,0,0,2001
