ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10107,3,1,1999,0,0,0,0,0,0,0,0,0,4
10108,1,1,1999,0,21,0,15,31,24,0,16,0,28
10108,2,1,1999,0,0,0,0,0,0,0,0,0,0
10109,1,1,1999,0,0,0,0,0,0,0,0,0,0
10110,1,1,1999,10,26,10,29,17,28,14,0,20,20
10111,1,1,1999,0,0,0,0,0,0,0,0,0,0
10111,2,1,1999,0,0,0,0,0,0,0,0,0,0
10112,1,1,1999,0,38,0,13,0,0,0,0,0,0
10112,2,1,1999,0,0,0,0,0,0,0,0,0,0
10113,1,1,1999,29,9,17,0,20,18,14,20,16,25
10114,1,1,1999,18,14,14,15,17,13,19,33,18,0
10114,2,1,1999,0,0,0,0,0,0,0,0,0,0
10115,1,1,1999,0,0,0,0,0,0,0,0,0,0
10115,2,1,1999,0,0,0,0,0,0,8,0,0,0
10116,1,1,1999,19,0,20,0,11,0,14,0,26,22
10117,1,1,1999,0,0,0,0,0,0,0,0,0,0
10117,2,1,1999,0,0,0,0,0,0,0,0,0,0
10118,1,1,1999,0,0,0,0,0,0,0,0,0,0
10119,1,1,1999,0,0,0,0,0,0,0,0,0,0
10119,2,1,1999,0,0,0,0,0,0,0,0,0,0
10120,1,1,1999,6,0,7,0,0,0,0,0,0,0
10121,1,1,1999,0,0,0,0,0,0,0,0,0,0
10121,2,1,1999,0,0,0,0,0,0,0,0,0,0
10122,1,1,1999,6,18,35,23,7,9,9,8,17,14
10123,1,1,1999,17,17,17,17,17,17,17,17,17,17
10124,0,1,1999,38,15,0,0,23,18,14,28,26,0
10124,1,1,1999,14,8,0,3,0,0,0,0,0,0
10125,1,1,1999,11,11,11,11,11,11,11,11,11,11
10126,1,1,1999,27,27,27,27,27,27,27,27,27,27
10127,1,1,1999,0,0,0,0,0,0,0,8,0,0
10128,1,1,1999,0,0,0,0,0,0,0,0,0,0
10128,2,1,1999,0,0,0,0,11,0,0,0,0,0
10129,1,1,1999,0,0,0,0,0,0,0,0,0,0
10129,2,1,1999,0,0,0,0,0,0,0,0,0,0
10129,3,1,1999,0,0,0,0,0,0,0,0,0,0
10130,1,1,1999,14,16,13,15,25,11,5,23,17,23
10130,2,1,1999,0,0,0,4,0,2,2,0,0,0
10131,1,1,1999,0,0,0,0,0,0,0,0,0,0
10131,2,1,1999,0,0,0,0,0,0,0,0,0,0
10132,0,1,1999,0,0,0,0,0,0,0,0,0,0
10132,1,1,1999,0,0,0,0,0,0,0,0,0,0
10133,1,1,1999,0,0,0,0,0,0,0,0,0,0
10134,1,1,1999,27,0,0,0,0,0,0,0,0,0
10135,1,1,1999,12,12,12,12,12,12,12,12,12,12
10135,2,1,1999,0,0,0,0,0,0,0,0,0,0
10136,1,1,1999,0,0,0,0,0,0,0,27,19,0
10137,1,1,1999,0,0,0,0,0,0,0,0,0,0
10137,2,1,1999,0,0,0,0,0,0,0,0,0,0
10138,1,1,1999,32,20,39,32,26,14,22,16,19,18
10139,1,1,1999,0,0,0,0,0,0,0,0,0,0
