YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,1,10085,1,2,2,2,1,1,2,4,1,3,1997,2,2
2003,1,10086,1,2,2,2,1,1,2,4,2,3,1995,2,2
2003,2,10086,3,2,2,2,1,1,2,4,2,3,1986,2,2
2003,1,10087,2,2,2,1,2,2,2,4,2,3,1997,2,2
2003,1,10088,2,2,2,1,1,1,1,4,1,3,1996,2,2
2003,1,10089,3,3,3,1,2,2,2,4,2,3,1994,2,2
2003,1,10090,1,2,2,2,1,1,2,4,1,3,1991,2,1
2003,1,10091,5,2,2,2,1,1,1,4,2,3,1995,2,2
2003,1,10092,2,3,3,1,1,1,1,4,1,3,1999,2,2
2003,1,10093,6,2,2,1,2,2,2,4,2,3,1989,2,2
2003,1,10094,1,2,2,2,1,1,2,4,2,3,1985,2,2
2003,2,10094,1,2,2,2,1,1,2,4,2,3,1972,2,2
2003,1,10095,1,5,5,2,1,1,2,4,2,3,1993,2,2
2003,2,10095,1,2,2,1,2,2,2,4,2,3,1998,2,2
2003,1,10096,1,5,5,2,1,1,2,4,2,3,1999,2,2
2003,2,10096,1,2,2,2,1,1,2,4,2,3,1995,2,2
2003,1,10097,6,1,1,2,3,3,3,4,2,3,9999,2,2
2003,2,10097,1,2,2,2,1,1,2,4,2,3,1999,2,2
2003,3,10097,4,2,2,2,1,1,1,4,2,3,2000,2,2
2003,1,10098,1,2,2,2,1,1,2,4,1,3,9999,2,2
2003,1,10099,1,2,2,1,2,2,2,4,2,3,1994,2,2
2003,2,10099,6,3,3,2,1,1,1,4,2,3,1996,2,2
2003,1,10100,2,2,2,2,2,2,2,4,1,3,1985,2,2
2003,1,10101,2,2,6,1,1,1,2,4,1,3,1990,2,2
2003,1,10102,2,1,1,1,1,1,2,4,2,3,1973,2,2
2003,1,10103,1,2,2,2,1,1,2,4,1,3,1994,2,2
2003,1,10104,1,3,3,2,1,1,2,4,1,3,2002,2,2
2003,1,10105,1,2,2,2,1,1,2,4,2,3,1997,2,2
2003,1,10106,1,2,2,2,3,3,3,4,2,3,1993,2,2
2003,2,10106,1,3,3,2,1,1,2,4,2,3,1998,2,2
2003,3,10106,3,4,4,2,1,1,2,4,2,3,1997,2,2
2003,1,10107,1,4,6,1,1,1,2,4,1,3,1996,2,2
2003,1,10108,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10109,3,2,2,2,1,1,2,4,2,3,2002,2,2
2003,2,10109,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,3,10109,6,7,7,2,1,1,1,4,2,3,1997,2,2
2003,4,10109,7,2,2,2,4,1,2,1,2,3,1998,2,2
2003,1,10110,1,5,2,2,1,1,2,4,1,3,2000,2,2
2003,1,10111,1,2,2,2,1,1,2,4,2,3,1993,2,2
2003,1,10112,1,2,2,2,1,1,2,4,1,3,1978,2,2
2003,1,10113,2,1,1,1,2,2,2,4,1,3,1984,2,2
2003,1,10114,1,2,2,2,1,1,2,4,2,3,1994,2,2
2003,2,10114,7,2,2,2,4,1,1,1,2,3,1982,2,2
2003,1,10115,2,5,5,2,1,1,2,4,2,3,1996,2,2
2003,1,10116,1,2,2,2,2,2,2,4,2,3,1994,2,2
2003,2,10116,3,2,2,1,1,1,2,4,2,3,2000,2,2
2003,1,10117,3,1,1,1,2,2,2,4,1,3,1987,2,2
2003,1,10118,1,2,2,2,1,1,2,4,2,3,1995,2,2
2003,2,10118,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10119,1,2,5,1,2,2,2,4,2,3,1999,2,2
2003,1,10120,4,2,2,2,1,1,2,4,2,3,1994,2,2
2003,1,10121,1,2,2,2,1,1,2,4,1,3,1994,2,2
2003,2,10121,1,2,2,2,1,1,2,4,1,3,1995,2,2
2003,1,10122,4,2,7,1,1,1,2,4,1,3,2003,1,2
2003,2,10122,1,4,4,2,1,1,2,4,2,3,1994,2,2
2003,1,10123,1,2,6,2,1,1,2,4,2,3,1995,2,2
2003,1,10124,1,3,3,2,2,2,2,4,1,3,1986,2,2
2003,1,10125,1,6,6,2,1,1,2,4,2,3,1976,2,2
2003,1,10126,1,2,2,2,1,1,2,4,2,3,1988,2,2
2003,2,10126,3,2,2,2,1,1,2,4,2,3,1989,2,2
2003,1,10127,1,3,3,2,1,1,2,4,2,3,1993,2,2
2003,2,10127,1,2,2,2,1,1,2,4,2,3,2000,2,2
