ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10197,2000,0,0,0,0,0,0,0,0,27,0
10199,2000,0,0,0,0,0,0,0,0,0,0
10200,2000,27,27,22,19,10,30,8,13,15,11
10201,2000,0,0,0,0,0,0,11,0,0,0
10202,2000,18,30,0,0,0,0,23,0,0,34
10203,2000,0,0,0,0,0,0,0,0,0,0
10204,2000,0,14,0,0,0,18,33,26,12,13
10205,2000,26,0,0,0,0,0,0,0,0,0
10206,2000,0,0,0,0,0,0,0,0,0,0
10207,2000,18,0,0,13,0,0,35,0,0,31
10208,2000,0,0,4,0,0,0,0,0,0,0
10209,2000,22,29,7,28,23,12,0,17,14,11
10210,2000,0,0,0,0,0,0,0,0,0,0
10211,2000,0,0,0,0,0,0,0,0,0,0
10212,2000,0,0,0,0,0,0,0,0,0,0
10213,2000,0,0,0,0,0,0,0,0,0,0
10214,2000,36,36,36,36,36,36,36,36,36,36
10215,2000,23,23,23,23,23,23,23,23,23,23
10216,2000,0,0,0,0,0,0,0,0,0,0
10217,2000,0,0,0,0,0,0,0,0,0,0
10218,2000,16,22,20,4,2,23,27,16,9,24
10219,2000,12,12,12,12,12,12,12,12,12,12
10220,2000,0,0,0,0,0,17,0,0,0,0
10221,2000,0,0,0,0,0,0,0,0,0,0
10222,2000,0,0,0,0,0,0,0,0,0,0
10224,2000,14,14,14,14,14,14,14,14,14,14
10225,2000,20,20,20,20,20,20,20,20,20,20
10226,2000,0,0,0,0,0,0,0,0,0,0
10227,2000,0,0,0,0,0,0,0,0,0,0
10228,2000,27,27,27,27,27,27,27,27,27,27
10229,2000,12,12,12,12,12,12,12,12,12,12
10230,2000,0,0,0,0,0,0,0,0,0,0
10231,2000,0,0,0,0,0,0,0,0,0,0
10232,2000,0,0,0,0,0,0,0,0,19,0
10233,2000,11,11,11,11,11,11,11,11,11,11
10234,2000,0,0,0,0,0,0,0,0,0,0
10235,2000,0,0,0,13,0,0,4,0,13,14
10236,2000,0,0,0,0,13,0,13,0,0,0
10237,2000,0,20,23,9,20,24,7,15,3,0
10238,2000,20,20,20,20,20,20,20,20,20,20
10239,2000,10,36,20,17,14,17,15,17,19,10
10240,2000,17,17,17,17,17,17,17,17,17,17
10241,2000,0,0,0,0,0,0,0,0,0,0
10242,2000,0,0,8,0,9,0,0,0,0,0
10243,2000,3,3,3,3,3,3,3,3,3,3
10244,2000,14,15,15,15,14,20,25,9,32,29
10245,2000,11,7,0,15,15,23,35,12,15,11
10246,2000,0,0,0,0,0,0,0,0,0,0
10247,2000,0,0,0,0,0,0,0,0,0,0
10248,2000,0,0,0,0,0,0,0,0,0,0
10249,2000,10,0,0,0,0,0,0,0,0,0
10250,2000,24,24,24,24,24,24,24,24,24,24
10251,2000,0,0,0,0,0,0,0,0,0,0
10252,2000,0,0,0,0,0,0,0,0,0,0
10253,2000,0,0,0,0,0,0,0,0,0,0
10254,2000,17,14,20,9,23,8,6,12,31,12
10255,2000,0,0,0,0,0,0,0,13,0,0
10256,2000,11,11,11,11,11,11,11,11,11,11
10257,2000,0,0,2,0,0,12,4,0,0,0
10258,2000,0,0,0,0,10,0,0,0,0,0
10259,2000,0,0,0,0,0,0,0,0,0,0
10260,2000,15,13,17,23,28,18,20,29,15,21
10261,2000,0,0,0,0,0,0,0,0,0,0
10262,2000,0,0,0,0,0,0,0,0,0,0
10263,2000,0,0,0,13,0,0,0,0,0,0
10264,2000,20,23,20,21,20,20,20,20,20,20
10265,2000,0,0,0,0,0,0,0,0,0,0
10266,2000,0,0,0,0,0,0,0,0,0,0
10267,2000,16,29,22,30,34,21,26,32,26,30
10268,2000,0,0,0,0,0,0,0,5,0,13
10269,2000,20,10,0,0,29,0,0,0,28,0
10270,2000,5,5,5,5,5,5,5,5,5,5
10271,2000,0,0,0,0,0,9,0,0,0,0
10272,2000,20,15,3,26,18,19,16,10,19,16
10273,2000,0,0,0,0,0,0,0,0,0,0
10274,2000,0,0,0,0,0,0,0,0,0,0
10275,2000,14,14,14,14,14,14,14,14,14,14
10276,2000,0,0,0,0,0,0,0,0,0,0
10277,2000,0,0,0,0,0,0,0,0,0,0
10278,2000,14,19,30,17,16,12,11,19,0,32
10279,2000,24,12,14,33,20,27,25,30,19,29
10280,2000,3,3,3,3,3,3,3,3,3,3
10281,2000,1,1,1,1,1,1,1,1,1,1
10282,2000,0,0,0,0,0,0,0,0,0,0
10283,2000,0,0,0,0,0,0,0,0,0,0
10284,2000,0,0,0,0,0,0,0,0,0,0
10285,2000,0,0,0,0,0,0,0,0,0,0
10286,2000,0,0,0,0,12,0,13,13,0,0
10287,2000,0,8,0,0,0,0,0,0,0,0
10288,2000,0,0,0,6,0,8,0,0,0,0
10289,2000,26,26,26,26,26,26,26,26,26,26
10290,2000,0,0,0,0,7,0,24,0,0,22
10291,2000,0,0,0,0,0,0,0,0,0,0
10292,2000,9,15,19,35,15,18,24,22,16,19
