ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
481026,2,2,5,5,11,4,80,998,8,48,0,0,0,2,70,83,1,0,2014
481038,1,1,7,5,22,30,80,998,8,48,3,0,0,2,30,2,1,0,2014
481052,1,1,10,5,21,20,80,998,8,48,0,0,0,2,55,1,1,1,2014
481067,1,1,11,5,2,56,80,998,2,48,0,0,0,3,45,6,1,1,2014
481074,1,1,11,5,1,24,80,998,8,48,0,0,0,2,65,6,1,0,2014
481089,2,1,16,5,17,30,80,998,8,48,1,0,1,4,98,87,1,1,2014
481091,2,2,16,5,22,20,80,998,8,48,1,0,0,2,75,98,2,0,2014
481094,2,1,16,5,5,15,80,998,8,48,1,0,0,2,50,68,1,0,2014
481098,1,1,17,5,5,15,80,998,8,48,0,0,0,3,50,88,1,1,2014
481107,1,1,18,5,16,21,80,998,8,48,0,0,0,4,50,83,1,0,2014
481109,2,1,18,5,7,30,80,998,8,48,0,0,0,2,99,78,1,0,2014
481110,1,1,18,5,19,3,80,998,8,48,0,0,0,3,40,91,1,1,2014
481113,2,1,19,5,20,37,80,998,8,48,0,0,2,5,40,69,1,0,2014
481123,2,1,21,5,9,7,80,998,8,48,0,0,0,4,60,88,1,0,2014
481129,1,2,24,5,13,46,80,998,8,48,0,0,0,2,40,6,1,0,2014
481138,1,1,23,4,11,30,80,998,8,13,98,0,0,2,55,1,1,0,2014
481139,2,1,27,4,1,50,80,998,8,48,1,0,1,8,40,69,1,0,2014
481140,1,1,5,5,6,27,80,998,4,48,0,0,1,2,50,83,1,0,2014
481143,1,1,11,5,2,25,80,998,8,48,0,0,0,2,45,1,1,1,2014
481148,1,1,17,5,19,48,80,998,8,48,0,0,1,5,65,0,1,0,2014
481149,1,1,18,5,15,29,80,998,8,48,0,0,1,2,40,1,1,1,2014
481163,1,2,24,5,20,53,80,100,8,48,0,0,0,3,60,7,2,1,2014
481166,2,1,24,5,20,54,80,998,8,48,0,0,0,8,98,48,1,1,2014
481167,1,1,24,5,20,50,80,87,8,48,0,0,0,2,70,69,1,1,2014
481174,2,2,25,5,17,42,80,998,8,40,0,0,0,2,70,51,2,0,2014
481174,3,2,25,5,17,42,80,998,8,40,0,1,0,2,70,98,0,0,2014
481179,1,1,26,5,17,35,80,998,4,48,0,0,0,4,40,69,1,0,2014
481182,1,1,27,5,10,15,80,998,8,48,0,0,0,3,75,98,1,0,2014
481198,2,1,31,5,17,16,80,998,8,48,0,0,0,2,45,79,1,0,2014
481202,1,1,30,4,0,55,80,998,8,48,0,0,0,2,45,98,1,0,2014
481204,1,1,3,5,4,34,80,998,8,48,1,0,0,2,55,6,1,0,2014
481210,1,1,20,5,2,18,80,998,8,48,0,0,0,3,40,1,1,1,2014
481213,1,1,22,5,23,30,80,998,8,48,0,0,0,5,60,11,1,1,2014
481214,2,1,22,5,10,19,80,998,8,48,0,0,0,4,40,69,1,0,2014
481218,1,1,24,5,3,0,80,998,8,48,0,0,0,1,98,2,1,1,2014
481238,1,2,30,5,22,50,80,998,6,48,0,0,0,5,45,1,1,1,2014
481240,1,1,1,6,14,31,80,998,8,48,0,0,0,2,45,69,1,0,2014
481240,2,1,1,6,14,31,80,998,8,48,0,0,0,2,45,68,0,0,2014
481243,1,1,1,6,20,29,80,998,8,48,0,0,0,2,70,13,1,0,2014
481259,2,1,4,6,21,52,80,998,4,48,0,0,0,2,55,83,1,1,2014
481273,1,1,5,6,21,42,80,998,8,48,0,0,0,2,99,86,1,0,2014
481276,2,1,6,6,21,21,80,998,8,48,0,0,0,2,30,51,1,0,2014
481281,1,1,7,6,15,23,80,998,8,22,0,0,0,3,65,7,1,0,2014
481281,2,1,7,6,15,23,80,998,8,40,0,0,0,3,65,98,0,0,2014
481284,2,1,7,6,22,17,80,998,8,48,0,0,0,4,35,32,1,0,2014
481286,2,1,7,6,7,45,80,998,8,48,0,0,0,2,60,69,1,0,2014
481295,1,1,8,6,20,45,80,998,8,48,0,0,1,2,60,52,1,0,2014
481299,1,1,8,6,20,38,80,998,8,48,0,0,0,4,35,6,1,0,2014
481309,1,1,9,6,2,45,80,998,8,48,0,1,2,2,55,2,1,1,2014
481314,1,1,10,6,1,33,80,998,8,53,0,0,0,2,75,13,1,0,2014
481318,1,1,11,6,18,50,80,998,8,48,0,0,0,1,70,6,1,0,2014
481326,1,1,12,6,4,15,80,998,8,48,0,0,0,2,98,1,1,1,2014
481329,1,1,13,6,1,15,80,998,8,48,0,0,0,2,65,13,1,0,2014
481335,2,1,13,6,11,23,80,998,8,48,0,0,0,5,40,98,1,0,2014
481337,2,1,14,6,15,44,80,998,8,48,0,0,0,2,55,69,1,1,2014
481338,2,1,14,6,10,2,80,998,8,48,0,0,0,3,35,98,1,0,2014
481351,1,2,15,6,6,0,80,998,8,48,1,0,1,1,50,1,1,0,2014
481354,2,1,16,6,23,13,80,998,8,48,0,0,0,2,60,83,1,0,2014
481360,1,1,17,6,21,59,80,998,8,48,0,0,0,2,50,7,1,0,2014
481362,1,1,17,6,17,39,80,998,8,48,0,0,0,2,40,1,1,0,2014
481366,1,1,18,6,19,55,80,998,8,48,0,0,1,1,99,6,1,0,2014
481368,1,1,19,6,15,27,80,998,8,48,1,0,1,2,35,1,1,0,2014
