VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,DAY,HOUR,MINUTE,Year
1,1,80,998,6,1,480787,0,48.0,1.0,0.0,2.0,5,2,5,24,2009
2,1,80,998,6,1,480788,0,48.0,0.0,0.0,0.0,4,1,20,27,2009
1,1,80,998,6,1,480794,0,48.0,0.0,0.0,0.0,4,5,12,30,2009
1,1,80,0,2,1,480803,1,48.0,0.0,0.0,0.0,4,16,20,40,2009
2,1,80,998,6,1,480808,0,48.0,0.0,0.0,0.0,4,19,14,0,2009
1,2,80,998,6,1,480822,0,48.0,0.0,0.0,0.0,4,29,23,43,2009
1,1,80,998,2,1,480826,0,48.0,0.0,0.0,0.0,5,2,13,2,2009
1,1,80,998,2,1,480827,1,48.0,0.0,0.0,0.0,5,2,0,24,2009
1,1,80,998,0,1,480830,1,48.0,0.0,0.0,0.0,5,3,3,6,2009
1,1,80,998,2,1,480832,0,48.0,1.0,0.0,0.0,5,4,6,18,2009
1,1,80,998,6,1,480842,0,48.0,0.0,0.0,0.0,5,13,6,15,2009
2,1,80,998,6,1,480844,0,48.0,0.0,0.0,0.0,5,14,16,59,2009
1,1,80,998,6,1,480845,0,48.0,0.0,0.0,0.0,4,5,14,15,2009
1,1,80,998,6,1,480862,1,35.0,98.0,0.0,0.0,5,2,0,10,2009
1,1,80,0,6,1,480867,1,48.0,0.0,0.0,0.0,5,5,22,42,2009
1,1,80,998,2,1,480875,1,48.0,0.0,0.0,0.0,5,11,15,6,2009
1,1,80,998,6,1,480876,1,48.0,0.0,0.0,0.0,5,14,22,0,2009
1,1,80,998,2,1,480883,0,48.0,0.0,0.0,0.0,5,10,20,50,2009
1,1,80,998,2,1,480888,0,48.0,0.0,0.0,0.0,4,11,12,25,2009
1,1,80,998,6,1,480892,0,48.0,1.0,0.0,1.0,4,9,0,7,2009
1,1,80,998,2,1,480901,1,48.0,0.0,0.0,1.0,4,24,19,51,2009
1,1,80,998,2,1,480904,0,48.0,0.0,0.0,1.0,4,26,13,30,2009
1,1,80,998,9,1,480906,0,48.0,0.0,0.0,0.0,4,29,15,35,2009
1,2,80,998,2,1,480910,0,48.0,0.0,0.0,0.0,5,2,15,56,2009
1,1,80,998,6,1,480915,0,48.0,0.0,0.0,0.0,5,3,14,37,2009
1,1,80,998,2,1,480921,0,48.0,0.0,0.0,0.0,5,7,6,19,2009
1,2,80,998,6,1,480924,1,48.0,0.0,0.0,0.0,5,8,20,32,2009
1,1,80,998,6,1,480928,1,48.0,0.0,0.0,0.0,5,9,13,20,2009
1,1,80,998,2,1,480932,0,48.0,1.0,0.0,0.0,5,9,12,20,2009
2,1,80,998,2,0,480932,0,48.0,1.0,0.0,1.0,5,9,12,20,2009
1,1,80,998,2,1,480937,1,48.0,0.0,0.0,0.0,5,10,22,50,2009
1,2,80,998,2,1,480941,0,48.0,0.0,0.0,0.0,5,12,18,43,2009
2,1,80,998,2,1,480942,0,48.0,0.0,0.0,0.0,5,12,17,50,2009
1,1,80,998,2,1,480946,1,48.0,0.0,0.0,1.0,5,15,6,36,2009
1,1,80,998,6,1,480948,0,48.0,0.0,0.0,0.0,5,16,20,7,2009
1,1,80,998,6,1,480951,1,48.0,0.0,1.0,1.0,5,17,17,0,2009
1,1,80,998,6,1,480952,0,48.0,1.0,0.0,3.0,5,17,17,30,2009
2,1,80,998,2,1,480954,0,5.0,0.0,0.0,0.0,5,18,17,46,2009
1,1,80,998,4,1,480955,1,99.0,99.0,99.0,99.0,5,18,23,20,2009
2,1,80,998,2,1,480961,0,48.0,0.0,0.0,0.0,5,22,9,24,2009
1,1,80,998,2,1,480962,1,48.0,0.0,0.0,0.0,5,22,21,15,2009
1,1,80,998,9,1,480972,1,48.0,0.0,0.0,0.0,4,14,21,28,2009
2,1,80,998,9,0,480972,0,48.0,0.0,0.0,0.0,4,14,21,28,2009
1,1,80,998,2,1,480973,0,48.0,1.0,0.0,2.0,4,15,7,20,2009
2,2,80,998,2,1,480996,1,48.0,1.0,0.0,0.0,5,15,21,21,2009
2,1,80,998,2,1,481009,1,48.0,0.0,0.0,0.0,5,21,1,22,2009
1,2,80,998,2,1,481011,0,48.0,0.0,0.0,0.0,5,22,12,8,2009
2,1,80,998,6,1,481020,0,48.0,0.0,0.0,2.0,5,24,2,53,2009
1,1,80,998,6,1,481026,0,48.0,0.0,0.0,0.0,5,25,15,20,2009
2,1,80,998,6,1,481027,0,18.0,0.0,0.0,0.0,5,25,12,24,2009
1,2,80,998,2,1,481042,1,48.0,0.0,0.0,0.0,6,5,0,50,2009
1,1,80,998,6,1,481044,1,48.0,0.0,0.0,0.0,6,7,1,30,2009
1,1,80,998,9,1,481046,0,48.0,0.0,0.0,1.0,2,25,19,28,2009
1,2,80,998,2,1,481052,0,48.0,0.0,0.0,0.0,4,19,20,32,2009
2,1,80,998,2,0,481068,0,48.0,0.0,0.0,0.0,5,10,19,20,2009
3,1,80,998,2,0,481068,0,48.0,0.0,0.0,1.0,5,10,19,20,2009
4,2,80,998,2,2,481068,0,48.0,0.0,0.0,1.0,5,10,19,20,2009
5,1,80,998,2,0,481068,0,48.0,0.0,0.0,0.0,5,10,19,20,2009
2,1,80,0,6,1,481074,0,48.0,0.0,0.0,0.0,5,13,14,32,2009
1,2,80,998,2,1,481075,0,48.0,0.0,0.0,0.0,5,14,18,11,2009
1,1,80,998,9,1,481077,0,48.0,0.0,0.0,2.0,5,14,1,27,2009
1,1,80,998,2,1,481081,1,48.0,0.0,0.0,0.0,5,15,21,20,2009
1,1,80,998,2,1,481083,0,48.0,0.0,0.0,0.0,5,17,18,38,2009
1,2,80,998,6,1,481088,1,48.0,0.0,0.0,0.0,5,22,3,20,2009
1,1,80,998,6,1,481093,0,48.0,0.0,0.0,0.0,5,24,2,0,2009
1,2,80,998,6,1,481096,1,48.0,0.0,0.0,0.0,5,25,16,40,2009
2,1,80,998,4,1,481126,0,48.0,0.0,0.0,0.0,4,21,11,14,2009
3,1,80,998,2,0,481126,0,48.0,0.0,0.0,0.0,4,21,11,14,2009
2,1,80,998,9,1,481127,1,48.0,0.0,0.0,1.0,4,22,22,5,2009
1,1,80,998,2,1,481128,1,48.0,0.0,0.0,0.0,4,23,22,55,2009
2,1,80,998,2,1,481135,1,48.0,0.0,0.0,0.0,5,6,21,58,2009
1,1,80,998,9,1,481138,0,48.0,0.0,0.0,0.0,5,11,10,49,2009
1,1,80,998,2,1,481144,0,48.0,0.0,0.0,0.0,5,19,19,59,2009
1,1,80,998,2,1,481148,1,48.0,0.0,0.0,0.0,5,24,21,10,2009
1,1,80,998,4,1,481158,0,48.0,0.0,0.0,1.0,5,31,15,54,2009
1,1,80,998,9,1,481164,0,48.0,0.0,0.0,0.0,6,2,17,37,2009
1,1,80,998,2,1,481168,0,48.0,0.0,0.0,0.0,6,2,21,35,2009
1,1,80,998,6,1,481170,0,48.0,0.0,0.0,0.0,6,3,12,58,2009
1,1,80,998,2,1,481172,0,48.0,0.0,0.0,0.0,6,3,20,24,2009
2,1,80,998,2,1,481178,0,48.0,0.0,0.0,0.0,6,4,9,24,2009
1,1,80,42,9,1,481188,1,48.0,0.0,0.0,0.0,6,5,22,46,2009
1,1,80,71,2,1,481194,0,48.0,0.0,0.0,0.0,6,6,18,5,2009
1,1,80,998,6,1,481196,0,48.0,0.0,1.0,0.0,6,6,21,2,2009
1,1,80,998,2,1,481206,0,48.0,0.0,0.0,1.0,6,7,21,15,2009
1,2,80,998,2,1,481208,0,48.0,0.0,0.0,1.0,6,7,10,20,2009
1,2,80,998,2,1,481212,0,48.0,0.0,0.0,0.0,6,8,21,5,2009
1,1,80,998,2,1,481213,1,48.0,0.0,0.0,0.0,6,9,0,0,2009
1,1,80,998,2,1,481215,0,48.0,0.0,0.0,1.0,6,9,18,20,2009
1,1,80,998,2,1,481217,0,32.0,0.0,0.0,0.0,6,10,12,35,2009
1,1,80,998,2,1,481218,0,48.0,0.0,0.0,0.0,6,10,13,30,2009
2,1,80,998,2,1,481220,0,48.0,0.0,0.0,0.0,6,10,21,41,2009
1,1,80,998,6,1,481223,0,48.0,0.0,0.0,0.0,6,11,13,20,2009
1,1,80,998,6,1,481228,0,48.0,0.0,0.0,1.0,6,12,18,53,2009
1,2,80,998,4,1,481234,0,48.0,0.0,0.0,0.0,6,12,21,36,2009
3,1,80,998,2,0,481234,0,48.0,0.0,0.0,0.0,6,12,21,36,2009
4,1,80,998,2,0,481234,0,48.0,0.0,0.0,0.0,6,12,21,36,2009
2,1,80,998,6,1,481236,0,48.0,0.0,0.0,0.0,4,20,16,44,2009
1,1,80,998,6,0,481239,0,48.0,1.0,0.0,1.0,6,12,0,35,2009
2,1,80,998,6,1,481239,1,48.0,0.0,0.0,0.0,6,12,0,35,2009
1,1,80,998,2,1,481245,1,48.0,0.0,0.0,0.0,6,13,19,36,2009
1,1,80,998,2,1,481247,0,48.0,0.0,0.0,0.0,6,13,21,21,2009
1,2,80,998,2,2,481249,0,48.0,0.0,0.0,0.0,6,13,8,10,2009
1,2,80,998,2,1,481254,0,48.0,0.0,0.0,0.0,6,14,19,16,2009
2,1,80,998,6,1,481266,0,48.0,1.0,0.0,0.0,6,16,6,49,2009
1,1,80,998,2,1,481278,0,48.0,0.0,0.0,0.0,6,19,1,14,2009
1,1,80,998,2,1,481279,0,48.0,0.0,0.0,0.0,6,19,12,50,2009
1,1,80,998,9,1,481280,1,48.0,0.0,0.0,0.0,6,20,18,25,2009
1,1,80,998,2,1,481285,0,48.0,0.0,0.0,0.0,6,20,23,23,2009
1,1,80,998,2,1,481290,0,48.0,0.0,0.0,0.0,6,21,12,46,2009
1,1,80,998,9,1,481291,1,48.0,0.0,0.0,1.0,6,21,2,45,2009
1,1,80,998,2,1,481302,0,48.0,0.0,0.0,0.0,6,22,13,52,2009
2,1,80,998,6,1,481306,0,48.0,0.0,0.0,0.0,6,23,21,29,2009
2,1,80,998,9,1,481317,0,48.0,0.0,0.0,0.0,6,27,11,26,2009
1,1,80,998,2,1,481318,1,48.0,0.0,0.0,0.0,6,27,23,20,2009
2,1,80,998,2,1,481330,0,48.0,0.0,0.0,0.0,3,7,22,57,2009
1,1,80,998,6,1,481331,0,48.0,0.0,0.0,1.0,4,25,21,34,2009
1,1,80,998,2,1,481349,0,48.0,0.0,0.0,2.0,6,27,21,3,2009
1,1,80,998,6,1,481353,1,48.0,0.0,0.0,0.0,6,29,0,15,2009
2,1,80,998,6,1,481353,1,48.0,0.0,0.0,0.0,6,29,0,15,2009
1,1,80,998,2,1,481361,1,48.0,0.0,0.0,0.0,5,16,4,27,2009
2,1,80,998,2,1,481372,0,48.0,0.0,0.0,0.0,7,2,17,7,2009
1,1,80,998,2,1,481375,0,48.0,0.0,0.0,0.0,7,2,13,55,2009
2,1,80,998,6,1,481377,0,48.0,0.0,0.0,1.0,7,3,12,40,2009
4,1,80,998,4,0,481382,0,48.0,0.0,0.0,0.0,7,4,18,28,2009
2,1,88,998,2,1,481385,0,48.0,0.0,0.0,0.0,7,4,16,10,2009
1,2,80,998,6,1,481391,0,48.0,0.0,0.0,0.0,7,4,10,38,2009
2,1,80,998,4,1,481397,1,35.0,98.0,1.0,0.0,7,5,23,12,2009
2,2,80,998,2,1,481398,1,48.0,0.0,0.0,0.0,7,5,5,40,2009
1,1,80,998,2,1,481409,1,48.0,0.0,0.0,0.0,7,7,22,45,2009
2,1,80,0,6,1,481411,0,48.0,0.0,0.0,0.0,7,7,12,50,2009
1,1,80,998,4,1,481413,0,48.0,0.0,0.0,0.0,7,8,19,37,2009
1,1,80,998,9,1,481414,0,48.0,0.0,0.0,0.0,7,8,18,35,2009
2,1,80,998,4,1,481421,0,48.0,0.0,0.0,0.0,7,9,2,55,2009
1,1,80,998,4,1,481423,0,48.0,0.0,0.0,0.0,7,10,13,45,2009
2,1,80,998,2,1,481425,1,48.0,0.0,0.0,0.0,7,10,19,12,2009
1,2,80,998,2,2,481428,0,48.0,0.0,0.0,0.0,7,10,11,5,2009
1,1,80,998,6,1,481431,0,48.0,0.0,0.0,0.0,7,10,21,53,2009
2,2,80,998,2,2,481439,0,48.0,0.0,0.0,0.0,7,11,9,21,2009
3,1,80,998,2,1,481439,0,48.0,0.0,0.0,0.0,7,11,9,21,2009
4,1,80,998,2,0,481439,0,48.0,0.0,0.0,0.0,7,11,9,21,2009
5,1,80,998,2,0,481439,0,48.0,0.0,0.0,0.0,7,11,9,21,2009
2,1,80,998,2,1,481464,0,48.0,0.0,0.0,3.0,7,17,2,50,2009
1,1,80,998,2,1,481471,1,48.0,0.0,0.0,0.0,7,18,21,55,2009
1,1,80,998,6,1,481477,0,48.0,0.0,0.0,0.0,7,19,21,35,2009
1,2,80,998,6,1,481482,1,48.0,1.0,0.0,0.0,7,22,99,99,2009
1,1,80,100,9,1,481496,1,48.0,0.0,0.0,2.0,7,27,23,50,2009
1,1,80,998,2,1,481497,1,48.0,0.0,0.0,0.0,7,28,0,5,2009
1,1,80,998,2,1,481507,0,48.0,0.0,0.0,0.0,6,23,18,11,2009
2,1,80,998,2,1,481511,0,48.0,0.0,0.0,1.0,7,10,8,17,2009
1,1,80,998,6,1,481515,1,48.0,0.0,0.0,0.0,7,16,0,11,2009
1,1,80,998,6,1,481522,0,48.0,0.0,0.0,0.0,7,23,23,33,2009
1,1,80,998,2,1,481527,1,48.0,0.0,0.0,0.0,7,26,2,55,2009
1,1,80,998,2,1,481528,1,48.0,1.0,0.0,0.0,7,26,6,29,2009
2,1,80,998,2,1,481535,0,48.0,0.0,0.0,0.0,7,29,3,30,2009
2,1,80,998,4,1,481538,0,48.0,0.0,0.0,1.0,7,31,9,6,2009
2,2,80,998,6,2,481541,1,48.0,0.0,0.0,0.0,7,7,22,0,2009
1,1,80,998,9,1,481556,0,48.0,0.0,0.0,2.0,7,25,16,7,2009
2,1,80,998,6,1,481567,0,48.0,0.0,0.0,0.0,6,2,16,45,2009
1,1,80,998,2,1,481568,0,48.0,0.0,0.0,0.0,6,6,22,29,2009
1,1,80,998,6,1,481572,0,48.0,0.0,0.0,0.0,7,12,19,30,2009
2,1,80,998,4,1,481584,0,30.0,98.0,1.0,3.0,4,16,15,40,2009
1,1,80,998,9,1,481598,1,47.0,0.0,0.0,0.0,8,1,23,54,2009
