ST_CASE,TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,Year
482246,998,0,0,0,2013
482249,998,0,0,0,2013
482250,998,0,0,0,2013
482275,998,0,0,0,2013
482283,998,0,0,0,2013
482289,998,0,0,5,2013
482306,998,0,0,0,2013
482312,998,0,0,0,2013
482314,998,1,0,1,2013
482319,998,0,0,0,2013
482320,998,0,0,2,2013
482332,998,0,0,0,2013
482334,998,0,0,0,2013
482337,998,0,0,1,2013
482339,998,0,0,0,2013
482342,998,1,0,0,2013
482351,998,0,0,0,2013
482354,998,0,0,0,2013
482357,998,0,0,0,2013
482358,998,0,0,1,2013
482359,998,0,0,0,2013
482363,998,0,0,0,2013
482364,998,0,0,1,2013
482376,998,0,0,1,2013
482378,998,0,0,0,2013
482379,998,1,0,2,2013
482388,998,0,0,0,2013
482391,998,0,0,1,2013
482397,0,0,0,0,2013
482399,998,1,0,0,2013
482405,998,0,0,0,2013
482415,998,0,0,0,2013
482423,998,0,0,1,2013
482424,998,1,0,1,2013
482431,998,0,0,0,2013
482432,998,0,0,0,2013
482440,998,0,0,0,2013
482442,998,0,0,1,2013
482443,998,0,0,0,2013
482445,998,0,1,2,2013
482446,998,0,0,0,2013
482453,998,1,0,0,2013
482458,998,98,0,0,2013
482460,998,0,0,0,2013
482468,998,0,0,0,2013
482488,998,1,0,0,2013
482490,60,0,0,0,2013
482506,998,0,0,1,2013
482512,998,0,0,0,2013
482522,998,0,0,0,2013
482522,998,0,0,2,2013
482523,998,99,99,99,2013
482527,998,0,0,0,2013
482544,998,0,0,0,2013
482545,998,0,0,0,2013
482549,998,0,0,1,2013
482552,998,0,0,0,2013
482553,998,0,0,0,2013
482555,998,0,0,1,2013
482562,998,0,0,0,2013
482567,998,0,0,0,2013
482570,998,0,0,0,2013
482604,998,0,0,0,2013
482607,998,0,0,1,2013
482611,998,0,0,0,2013
482616,998,0,0,0,2013
482617,998,0,0,0,2013
482618,998,0,0,1,2013
482625,998,0,0,0,2013
482643,998,0,0,1,2013
482648,998,0,0,0,2013
482658,998,1,0,0,2013
482660,998,1,0,0,2013
482676,998,0,0,0,2013
482678,998,0,0,0,2013
482692,998,1,0,0,2013
482700,998,0,0,0,2013
482706,998,0,0,0,2013
482730,998,0,0,0,2013
482737,100,0,0,0,2013
482754,998,0,0,0,2013
482755,998,0,0,0,2013
482761,998,0,1,1,2013
482786,998,0,0,0,2013
482788,998,0,0,0,2013
482791,998,0,0,0,2013
482793,998,1,0,0,2013
482800,998,0,0,0,2013
482805,998,0,0,0,2013
482806,998,0,0,1,2013
482808,998,0,0,0,2013
482830,998,1,0,0,2013
482833,998,0,0,1,2013
482836,998,0,0,0,2013
482885,998,0,0,0,2013
482890,998,0,0,0,2013
482891,998,2,0,0,2013
482931,998,0,0,0,2013
482944,998,0,0,0,2013
482948,998,0,0,0,2013
482957,998,0,0,1,2013
483005,998,0,0,1,2013
483023,998,0,0,0,2013
483025,115,0,0,0,2013
483046,998,0,0,0,2013
483053,998,0,0,0,2013
483058,998,98,0,0,2013
483059,998,0,0,0,2013
483062,998,0,0,1,2013
483079,998,1,0,0,2013
483084,998,0,0,1,2013
483086,998,0,0,0,2013
483092,998,0,0,0,2013
483096,998,0,0,0,2013
483104,998,0,0,0,2013
483106,998,0,0,0,2013
