VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,9,1,481197,0,48.0,0.0,0.0,0.0,6,2003
2,1,80,98,9,1,481204,0,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,6,1,481215,0,48.0,1.0,0.0,1.0,6,2003
2,1,80,98,6,1,481218,0,48.0,1.0,0.0,0.0,6,2003
1,1,80,98,9,1,481235,0,48.0,0.0,0.0,0.0,6,2003
2,1,80,98,9,1,481237,1,48.0,0.0,0.0,0.0,6,2003
2,2,80,98,6,2,481240,0,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,6,1,481242,1,48.0,0.0,1.0,0.0,6,2003
1,2,80,98,9,1,481251,1,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,9,1,481257,0,48.0,0.0,0.0,4.0,6,2003
1,1,80,42,2,1,481278,0,48.0,0.0,0.0,1.0,4,2003
2,2,80,98,9,1,481282,0,48.0,0.0,0.0,1.0,4,2003
2,1,80,98,4,1,481309,0,48.0,1.0,0.0,0.0,6,2003
1,1,80,98,2,1,481336,0,48.0,1.0,0.0,0.0,6,2003
1,1,80,98,4,1,481360,0,48.0,0.0,0.0,0.0,6,2003
1,2,80,98,4,2,481376,0,48.0,2.0,0.0,0.0,6,2003
3,1,80,98,6,1,481377,0,48.0,0.0,0.0,0.0,6,2003
4,1,80,98,4,0,481377,0,48.0,1.0,0.0,0.0,6,2003
1,1,80,98,6,1,481390,1,40.0,1.0,0.0,1.0,6,2003
1,1,80,98,9,1,481409,0,48.0,0.0,0.0,0.0,6,2003
1,2,80,98,9,1,481411,1,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,2,1,481413,0,22.0,0.0,0.0,2.0,6,2003
1,1,80,98,9,1,481418,0,48.0,0.0,0.0,0.0,6,2003
2,2,80,98,9,1,481420,1,48.0,1.0,0.0,2.0,6,2003
1,2,80,98,9,1,481425,0,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,9,1,481430,0,48.0,0.0,0.0,1.0,6,2003
2,1,80,98,6,1,481436,0,48.0,0.0,0.0,0.0,6,2003
2,1,80,98,9,1,481442,0,48.0,1.0,0.0,0.0,6,2003
1,1,80,98,9,1,481465,0,35.0,98.0,0.0,0.0,7,2003
1,1,80,97,6,1,481469,0,48.0,0.0,0.0,1.0,7,2003
2,1,80,98,6,1,481488,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,9,1,481500,1,48.0,0.0,0.0,1.0,7,2003
1,1,80,98,6,1,481504,0,48.0,1.0,0.0,0.0,7,2003
1,1,80,98,6,1,481522,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,9,1,481538,0,48.0,0.0,0.0,1.0,7,2003
2,2,80,98,9,2,481539,0,48.0,1.0,0.0,0.0,7,2003
3,1,80,0,9,1,481540,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,61,9,1,481550,0,48.0,0.0,0.0,4.0,7,2003
1,2,80,98,4,1,481562,1,48.0,0.0,0.0,0.0,7,2003
2,2,80,98,9,1,481578,0,48.0,0.0,0.0,0.0,7,2003
2,2,80,98,2,1,481580,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,9,1,481615,1,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,6,1,481626,0,48.0,0.0,0.0,1.0,7,2003
1,1,80,98,6,1,481628,0,48.0,0.0,0.0,8.0,7,2003
1,1,80,98,6,1,481633,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,9,1,481650,0,48.0,1.0,0.0,1.0,7,2003
1,1,80,98,9,1,481658,1,48.0,0.0,0.0,1.0,7,2003
1,1,80,98,6,1,481669,0,48.0,1.0,0.0,0.0,7,2003
2,1,80,98,2,1,481702,0,48.0,0.0,0.0,0.0,8,2003
2,1,80,98,9,1,481727,0,48.0,0.0,0.0,1.0,8,2003
1,1,80,98,4,1,481731,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,9,1,481740,0,48.0,1.0,0.0,2.0,8,2003
1,1,80,98,4,1,481759,0,48.0,0.0,0.0,2.0,8,2003
1,1,80,98,2,1,481763,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,9,1,481771,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,6,1,481781,1,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,9,1,481786,0,48.0,0.0,0.0,1.0,8,2003
2,1,80,98,6,1,481801,1,48.0,1.0,0.0,0.0,8,2003
