TRAV_SP,ST_CASE,PREV_ACC,PREV_DWI,PREV_SPD,Year
98,480716,3.0,0.0,2.0,2005
98,480723,0.0,0.0,0.0,2005
98,480727,0.0,0.0,0.0,2005
98,480729,0.0,0.0,0.0,2005
98,480733,0.0,0.0,1.0,2005
98,480738,0.0,0.0,1.0,2005
98,480745,1.0,0.0,0.0,2005
98,480749,0.0,0.0,0.0,2005
98,480752,0.0,0.0,6.0,2005
98,480760,0.0,0.0,0.0,2005
98,480766,0.0,0.0,1.0,2005
98,480766,0.0,0.0,1.0,2005
98,480774,0.0,0.0,0.0,2005
98,480777,0.0,0.0,4.0,2005
98,480778,0.0,0.0,2.0,2005
98,480801,0.0,0.0,0.0,2005
98,480819,0.0,0.0,1.0,2005
98,480827,0.0,0.0,0.0,2005
98,480849,1.0,0.0,0.0,2005
98,480850,0.0,0.0,0.0,2005
98,480851,0.0,0.0,0.0,2005
98,480863,0.0,0.0,3.0,2005
98,480880,0.0,0.0,0.0,2005
97,480883,0.0,0.0,2.0,2005
98,480887,0.0,0.0,0.0,2005
98,480890,0.0,0.0,0.0,2005
98,480892,0.0,0.0,0.0,2005
98,480896,0.0,0.0,0.0,2005
98,480922,1.0,0.0,0.0,2005
65,480944,0.0,0.0,0.0,2005
98,480952,1.0,0.0,0.0,2005
98,480953,1.0,0.0,1.0,2005
98,480958,0.0,1.0,1.0,2005
98,480959,0.0,0.0,0.0,2005
98,480962,1.0,0.0,0.0,2005
98,480963,1.0,0.0,0.0,2005
98,480968,1.0,0.0,0.0,2005
98,480968,0.0,0.0,0.0,2005
98,480973,0.0,0.0,0.0,2005
98,480984,0.0,0.0,1.0,2005
98,480989,0.0,0.0,1.0,2005
98,480999,1.0,0.0,0.0,2005
98,481007,0.0,0.0,0.0,2005
98,481013,0.0,0.0,0.0,2005
98,481018,0.0,0.0,0.0,2005
98,481030,0.0,0.0,0.0,2005
98,481049,0.0,0.0,0.0,2005
98,481057,1.0,1.0,0.0,2005
98,481076,1.0,0.0,1.0,2005
98,481087,0.0,0.0,0.0,2005
98,481095,0.0,0.0,0.0,2005
98,481111,0.0,0.0,0.0,2005
98,481121,0.0,0.0,2.0,2005
98,481133,0.0,0.0,0.0,2005
98,481136,0.0,0.0,1.0,2005
98,481157,1.0,0.0,1.0,2005
98,481162,0.0,0.0,0.0,2005
98,481165,0.0,0.0,3.0,2005
98,481170,0.0,1.0,0.0,2005
98,481178,0.0,0.0,1.0,2005
98,481179,0.0,0.0,0.0,2005
98,481180,0.0,0.0,0.0,2005
98,481196,0.0,0.0,0.0,2005
98,481219,0.0,0.0,1.0,2005
98,481247,0.0,0.0,0.0,2005
98,481265,0.0,0.0,0.0,2005
98,481276,0.0,0.0,0.0,2005
98,481292,1.0,0.0,0.0,2005
98,481297,0.0,0.0,1.0,2005
98,481299,0.0,0.0,0.0,2005
98,481306,0.0,0.0,0.0,2005
98,481310,1.0,0.0,0.0,2005
98,481324,0.0,0.0,0.0,2005
98,481335,0.0,0.0,0.0,2005
98,481347,2.0,1.0,8.0,2005
98,481353,0.0,0.0,0.0,2005
98,481365,0.0,0.0,0.0,2005
98,481368,0.0,0.0,0.0,2005
98,481383,0.0,0.0,1.0,2005
98,481384,1.0,1.0,0.0,2005
98,481389,0.0,0.0,0.0,2005
80,481398,0.0,0.0,0.0,2005
98,481399,0.0,0.0,1.0,2005
98,481421,0.0,0.0,0.0,2005
98,481427,0.0,0.0,2.0,2005
98,481446,0.0,0.0,0.0,2005
98,481471,0.0,0.0,0.0,2005
98,481475,0.0,1.0,1.0,2005
66,481484,0.0,0.0,0.0,2005
98,481515,1.0,0.0,0.0,2005
98,481519,1.0,0.0,0.0,2005
98,481530,0.0,0.0,0.0,2005
98,481530,1.0,0.0,0.0,2005
98,481530,0.0,0.0,0.0,2005
97,481549,0.0,0.0,0.0,2005
98,481552,0.0,0.0,1.0,2005
98,481553,1.0,0.0,0.0,2005
98,481559,1.0,0.0,0.0,2005
98,481560,0.0,0.0,1.0,2005
98,481570,0.0,0.0,0.0,2005
98,481589,0.0,0.0,2.0,2005
98,481597,0.0,0.0,0.0,2005
98,481600,1.0,0.0,1.0,2005
98,481603,0.0,0.0,0.0,2005
98,481604,3.0,0.0,0.0,2005
98,481613,0.0,0.0,2.0,2005
