TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,ST_CASE,Year
99,0.0,0.0,0.0,482215,1998
99,2.0,0.0,5.0,482226,1998
99,0.0,0.0,0.0,482244,1998
99,0.0,0.0,0.0,482265,1998
99,0.0,0.0,1.0,482278,1998
99,0.0,0.0,0.0,482341,1998
99,0.0,0.0,1.0,482342,1998
99,0.0,0.0,0.0,482363,1998
99,0.0,0.0,1.0,482365,1998
99,0.0,0.0,0.0,482366,1998
99,0.0,0.0,0.0,482372,1998
99,0.0,0.0,0.0,482380,1998
99,0.0,0.0,0.0,482393,1998
99,0.0,0.0,0.0,482407,1998
99,0.0,0.0,0.0,482422,1998
99,0.0,0.0,0.0,482515,1998
99,0.0,0.0,1.0,482535,1998
99,0.0,0.0,0.0,482563,1998
99,0.0,0.0,0.0,482601,1998
99,1.0,0.0,2.0,482657,1998
99,0.0,0.0,0.0,482680,1998
99,1.0,1.0,0.0,482721,1998
99,0.0,0.0,0.0,482746,1998
99,0.0,0.0,0.0,482757,1998
99,0.0,0.0,0.0,482785,1998
99,0.0,0.0,0.0,482793,1998
99,0.0,0.0,0.0,482800,1998
99,0.0,0.0,0.0,482800,1998
99,0.0,0.0,0.0,482829,1998
99,0.0,0.0,0.0,482844,1998
99,0.0,0.0,0.0,482860,1998
99,0.0,0.0,0.0,482888,1998
99,0.0,0.0,0.0,482908,1998
99,4.0,1.0,0.0,482972,1998
99,0.0,0.0,0.0,482979,1998
99,0.0,0.0,1.0,482988,1998
99,1.0,0.0,1.0,482989,1998
99,0.0,0.0,0.0,483002,1998
99,0.0,0.0,0.0,483021,1998
99,1.0,0.0,0.0,483022,1998
99,0.0,0.0,0.0,483049,1998
99,0.0,0.0,0.0,483068,1998
99,0.0,0.0,0.0,483113,1998
99,0.0,0.0,0.0,483167,1998
