STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10056,2,1,12,59,9999,77
1,10056,3,1,55,69,5555,55
1,10056,4,1,55,63,5555,55
1,10056,5,1,81,42,9999,77
1,10056,6,1,9,42,9999,77
1,10056,7,1,0,2,9999,77
1,10057,1,1,55,63,5555,55
1,10057,2,1,12,59,9999,77
1,10057,3,1,12,42,9999,77
1,10058,1,1,55,63,5555,55
1,10058,2,1,12,17,9999,77
1,10058,3,1,98,42,9999,77
1,10058,4,1,0,1,9999,77
1,10059,1,1,11,12,2,12
1,10059,2,2,55,68,5555,55
1,10059,3,3,12,12,2,9
1,10059,4,2,55,68,5555,55
1,10059,5,2,1,12,1,11
1,10059,6,3,12,12,2,9
1,10059,7,4,12,12,1,6
1,10059,8,1,18,54,5,12
1,10059,9,5,55,63,5555,55
1,10059,10,5,12,34,9999,77
1,10060,1,1,55,63,5555,55
1,10060,2,1,55,69,5555,55
1,10060,3,1,55,68,5555,55
1,10060,4,1,55,68,5555,55
1,10060,5,1,55,63,5555,55
1,10060,6,1,9,42,9999,77
1,10061,1,1,12,8,9999,77
1,10062,1,1,55,63,5555,55
1,10062,2,1,12,35,9999,77
1,10062,3,1,55,67,5555,55
1,10062,4,1,6,59,9999,77
1,10062,5,1,0,1,9999,77
1,10063,1,1,55,64,5555,55
1,10063,2,1,12,35,9999,77
1,10063,3,1,0,1,9999,77
1,10064,1,1,55,68,5555,55
1,10064,2,1,55,63,5555,55
1,10064,3,1,12,58,9999,77
1,10064,4,1,12,35,9999,77
1,10064,5,1,0,1,9999,77
1,10064,6,1,9,42,9999,77
1,10064,7,1,19,42,9999,77
1,10065,1,1,12,12,2,12
1,10066,1,1,55,68,5555,55
1,10066,2,1,55,64,5555,55
1,10066,3,1,12,42,9999,77
1,10067,1,1,55,64,5555,55
1,10067,2,1,12,19,9999,77
1,10068,1,1,55,68,5555,55
1,10068,2,1,12,12,2,12
1,10068,3,1,55,68,5555,55
1,10068,4,1,55,63,5555,55
1,10068,5,1,98,53,9999,77
1,10068,6,2,55,63,5555,55
1,10068,7,2,0,2,9999,77
1,10069,1,1,55,68,5555,55
1,10069,2,1,12,12,2,12
1,10069,3,2,55,63,5555,55
1,10069,4,2,0,1,9999,77
1,10070,1,1,55,68,5555,55
1,10070,2,1,55,68,5555,55
1,10070,3,1,55,63,5555,55
1,10070,4,1,9,42,9999,77
1,10071,1,1,55,64,5555,55
1,10071,2,1,4,42,9999,77
1,10071,3,1,98,42,9999,77
1,10071,4,1,0,1,9999,77
1,10072,1,1,55,63,5555,55
1,10072,2,1,11,32,9999,77
1,10073,1,1,55,63,5555,55
1,10073,2,1,1,59,9999,77
1,10073,3,1,98,32,9999,77
1,10074,1,1,55,68,5555,55
1,10074,2,1,55,68,5555,55
1,10074,3,1,55,63,5555,55
1,10074,4,1,12,35,9999,77
1,10074,5,1,0,1,9999,77
1,10075,1,1,55,63,5555,55
1,10075,2,1,12,42,9999,77
1,10076,1,1,12,12,2,6
1,10077,1,1,12,8,9999,77
1,10078,1,2,12,12,1,6
1,10078,2,1,55,63,5555,55
1,10078,3,1,0,1,9999,77
1,10079,1,1,55,63,5555,55
1,10079,2,1,12,14,2,6
1,10080,1,2,12,8,9999,77
1,10080,2,2,98,12,1,8
1,10081,1,1,55,63,5555,55
1,10081,2,1,10,34,9999,77
1,10081,3,1,0,1,9999,77
1,10081,4,1,98,42,9999,77
1,10082,1,1,55,63,5555,55
1,10082,2,1,55,69,5555,55
1,10082,3,1,55,68,5555,55
1,10082,4,1,12,12,2,12
1,10083,1,1,55,68,5555,55
1,10083,2,1,12,12,2,12
1,10084,1,2,12,12,1,3
1,10084,2,1,98,12,3,11
1,10085,1,1,55,63,5555,55
1,10085,2,1,12,42,9999,77
1,10086,1,1,55,63,5555,55
1,10086,2,1,12,42,9999,77
1,10087,1,1,55,63,5555,55
1,10087,2,1,55,69,5555,55
1,10087,3,1,55,64,5555,55
1,10087,4,1,6,34,9999,77
1,10087,5,1,0,1,9999,77
1,10088,1,1,55,68,5555,55
1,10088,2,1,55,64,5555,55
1,10088,3,1,12,42,9999,77
1,10088,4,1,12,42,9999,77
1,10089,1,1,55,63,5555,55
1,10089,2,1,9,32,9999,77
1,10089,3,1,0,1,9999,77
1,10090,1,1,55,68,5555,55
1,10090,2,2,12,12,1,3
1,10091,1,1,55,68,5555,55
1,10091,2,1,55,64,5555,55
1,10091,3,1,12,43,9999,77
1,10091,4,1,98,43,9999,77
1,10091,5,1,0,1,9999,77
1,10091,6,1,98,19,9999,77
1,10091,7,1,98,43,9999,77
1,10091,8,1,3,30,9999,77
1,10092,1,1,55,68,5555,55
1,10092,2,1,55,64,5555,55
1,10092,3,1,8,23,9999,77
1,10092,4,1,0,1,9999,77
1,10093,1,1,55,68,5555,55
1,10093,2,1,55,64,5555,55
1,10093,3,1,12,42,9999,77
1,10094,1,1,12,8,9999,77
1,10094,2,2,14,8,9999,77
1,10094,3,3,14,8,9999,77
1,10095,1,1,55,63,5555,55
1,10095,2,1,12,42,9999,77
1,10095,3,1,12,42,9999,77
1,10095,4,1,0,1,9999,77
1,10096,1,1,55,63,5555,55
1,10096,2,1,0,1,9999,77
1,10096,3,1,9,42,9999,77
1,10097,1,2,12,12,1,9
1,10098,1,1,55,68,5555,55
1,10098,2,1,12,12,2,12
1,10098,3,2,0,1,9999,77
1,10099,1,1,55,68,5555,55
1,10099,2,1,55,64,5555,55
1,10099,3,1,3,42,9999,77
1,10100,1,1,55,63,5555,55
1,10100,2,1,1,42,9999,77
1,10100,3,1,12,42,9999,77
1,10100,4,1,9,42,9999,77
1,10101,1,1,55,71,9999,77
1,10101,2,1,12,19,9999,77
1,10102,1,2,12,12,1,6
1,10103,1,1,12,8,9999,77
1,10104,1,1,55,68,5555,55
1,10104,2,1,12,12,2,12
1,10105,1,1,55,63,5555,55
1,10105,2,1,55,69,5555,55
1,10105,3,1,55,68,5555,55
1,10105,4,1,55,64,5555,55
1,10105,5,1,12,35,9999,77
1,10105,6,1,0,1,9999,77
1,10106,1,1,55,63,5555,55
1,10106,2,1,55,69,5555,55
1,10106,3,1,55,68,5555,55
1,10106,4,1,12,12,2,12
1,10106,5,1,0,2,9999,77
1,10107,1,1,55,68,5555,55
1,10107,2,1,55,64,5555,55
1,10107,3,1,1,42,9999,77
1,10107,4,1,6,42,9999,77
1,10107,5,1,0,2,9999,77
1,10109,1,1,55,63,5555,55
1,10109,2,1,98,35,9999,77
1,10109,3,1,9,42,9999,77
1,10110,1,1,55,71,9999,77
1,10110,2,1,12,35,9999,77
1,10110,3,1,0,1,9999,77
1,10110,4,1,0,3,9999,77
1,10111,1,1,55,63,5555,55
1,10111,2,1,55,69,5555,55
1,10111,3,1,55,68,5555,55
1,10111,4,1,55,68,5555,55
1,10111,5,1,55,63,5555,55
1,10111,6,1,5,34,9999,77
1,10111,7,1,0,1,9999,77
1,10111,8,1,0,3,9999,77
1,10112,1,1,55,68,5555,55
1,10112,2,1,55,64,5555,55
1,10112,3,1,6,42,9999,77
1,10112,4,1,3,42,9999,77
1,10113,1,1,12,8,9999,77
1,10114,1,1,55,71,9999,77
1,10114,2,1,12,35,9999,77
1,10115,1,1,12,8,9999,77
1,10116,1,1,55,68,5555,55
1,10116,2,1,12,12,2,12
1,10117,1,1,55,64,5555,55
1,10117,2,1,55,69,5555,55
1,10117,3,1,55,68,5555,55
1,10117,4,1,55,68,5555,55
1,10117,5,1,55,64,5555,55
1,10117,6,1,12,34,9999,77
1,10117,7,1,12,42,9999,77
1,10117,8,1,12,42,9999,77
1,10117,9,1,0,1,9999,77
1,10118,1,1,55,63,5555,55
1,10118,2,1,11,42,9999,77
1,10119,1,2,12,12,1,9
1,10120,1,1,12,12,2,6
1,10120,2,1,55,68,5555,55
1,10120,3,1,12,12,3,12
1,10120,4,1,55,64,5555,55
1,10120,5,1,0,1,9999,77
1,10121,1,1,12,12,2,6
1,10121,2,1,55,68,5555,55
1,10121,3,1,12,12,3,12
1,10122,1,1,0,1,9999,77
1,10124,1,2,12,12,1,3
1,10124,2,1,55,64,5555,55
1,10124,3,1,11,39,9999,77
1,10125,1,1,12,8,9999,77
1,10126,1,2,12,12,1,3
1,10126,2,1,55,64,5555,55
1,10126,3,1,98,34,9999,77
1,10126,4,1,0,1,9999,77
1,10126,5,2,55,63,5555,55
1,10126,6,2,98,34,9999,77
1,10127,1,1,12,12,2,11
1,10127,2,2,55,63,5555,55
1,10127,3,2,6,43,9999,77
1,10127,4,1,12,12,3,8
1,10128,1,1,55,63,5555,55
1,10128,2,1,0,1,9999,77
1,10128,3,1,9,34,9999,77
1,10129,1,1,55,63,5555,55
1,10129,2,1,55,69,5555,55
1,10129,3,1,55,68,5555,55
1,10129,4,1,55,64,5555,55
1,10129,5,1,12,42,9999,77
1,10130,1,2,12,12,1,9
1,10131,1,1,55,63,5555,55
1,10131,2,1,1,30,9999,77
1,10131,3,1,0,1,9999,77
1,10132,1,1,55,63,5555,55
1,10132,2,1,98,33,9999,77
1,10132,3,1,6,43,9999,77
1,10133,1,1,55,63,5555,55
1,10133,2,1,55,69,5555,55
1,10133,3,1,55,68,5555,55
1,10133,4,1,55,64,5555,55
1,10133,5,1,12,35,9999,77
1,10133,6,1,0,1,9999,77
1,10134,1,1,55,68,5555,55
1,10134,2,1,55,68,5555,55
1,10134,3,1,55,63,5555,55
1,10134,4,1,12,34,9999,77
1,10135,1,1,55,68,5555,55
1,10135,2,1,12,12,2,12
1,10135,3,2,0,2,9999,77
1,10136,1,1,55,68,5555,55
1,10136,2,1,55,64,5555,55
1,10136,3,1,14,35,9999,77
1,10136,4,1,55,67,5555,55
1,10136,5,1,55,64,5555,55
1,10136,6,1,98,24,9999,77
1,10136,7,1,0,1,9999,77
1,10137,1,1,55,68,5555,55
1,10137,2,1,12,12,2,12
1,10137,3,1,98,12,3,12
1,10138,1,1,55,68,5555,55
1,10138,2,1,55,64,5555,55
1,10138,3,1,12,32,9999,77
1,10138,4,1,0,1,9999,77
1,10139,1,1,12,12,2,6
1,10139,2,2,12,12,3,6
1,10139,3,2,12,12,3,8
1,10140,1,1,12,12,2,6
1,10140,2,2,55,63,5555,55
1,10140,3,2,9,18,9999,77
1,10140,4,2,19,24,9999,77
1,10141,1,1,12,8,9999,77
1,10141,2,2,10,8,9999,77
1,10141,3,3,8,8,9999,77
1,10141,4,4,12,8,9999,77
1,10141,5,5,12,8,9999,77
1,10141,6,6,12,8,9999,77
1,10142,1,1,99,8,9999,77
1,10143,1,1,12,8,9999,77
1,10144,1,1,12,8,9999,77
1,10145,1,2,12,12,1,12
1,10146,1,1,12,8,9999,77
1,10147,1,1,55,68,5555,55
1,10147,2,1,12,12,2,12
1,10148,1,1,55,63,5555,55
1,10148,2,1,9,30,9999,77
1,10149,1,1,55,63,5555,55
1,10149,2,1,55,69,5555,55
1,10149,3,1,55,68,5555,55
1,10149,4,1,0,1,9999,77
1,10150,1,1,55,63,5555,55
1,10150,2,1,12,33,9999,77
1,10150,3,1,12,30,9999,77
1,10150,4,1,0,2,9999,77
1,10151,1,1,55,63,5555,55
1,10151,2,1,55,69,5555,55
1,10151,3,1,55,68,5555,55
1,10151,4,1,12,12,2,12
1,10152,1,1,12,8,9999,77
1,10153,1,1,55,64,5555,55
1,10153,2,1,12,42,9999,77
1,10153,3,1,98,42,9999,77
1,10154,1,1,55,68,5555,55
1,10154,2,1,12,12,2,12
1,10155,1,1,55,63,5555,55
1,10155,2,1,55,69,5555,55
1,10155,3,1,55,68,5555,55
1,10155,4,1,55,68,5555,55
1,10155,5,1,55,63,5555,55
1,10155,6,1,12,42,9999,77
1,10155,7,1,13,42,9999,77
1,10156,1,1,55,63,5555,55
1,10156,2,1,55,69,5555,55
1,10156,3,1,55,68,5555,55
1,10156,4,1,55,64,5555,55
1,10156,5,1,55,67,5555,55
1,10156,6,1,12,30,9999,77
1,10157,1,1,55,68,5555,55
1,10157,2,1,55,64,5555,55
1,10157,3,1,12,42,9999,77
1,10157,4,1,98,42,9999,77
1,10157,5,1,55,67,5555,55
1,10157,6,1,98,42,9999,77
1,10157,7,1,0,1,9999,77
1,10158,1,2,12,12,1,3
1,10158,2,1,55,64,5555,55
1,10158,3,1,11,59,9999,77
1,10158,4,1,3,42,9999,77
1,10159,1,1,12,12,2,12
1,10160,1,1,12,8,9999,77
1,10161,1,1,98,12,2,1
1,10162,1,1,1,8,9999,77
1,10163,1,1,55,63,5555,55
1,10163,2,1,12,55,2,4
1,10164,1,1,55,68,5555,55
1,10164,2,1,12,12,2,12
1,10165,1,1,55,63,5555,55
1,10165,2,1,55,69,5555,55
1,10165,3,1,55,68,5555,55
1,10165,4,1,55,64,5555,55
1,10165,5,1,12,58,9999,77
1,10165,6,1,0,1,9999,77
1,10165,7,1,13,42,9999,77
1,10166,1,1,55,68,5555,55
1,10166,2,1,55,64,5555,55
1,10166,3,1,12,35,9999,77
1,10166,4,1,0,1,9999,77
1,10167,1,1,55,63,5555,55
1,10167,2,1,12,59,9999,77
1,10167,3,1,55,69,5555,55
1,10167,4,1,55,68,5555,55
1,10167,5,1,55,64,5555,55
1,10167,6,1,0,1,9999,77
1,10167,7,1,98,42,9999,77
1,10168,1,1,12,8,9999,77
1,10169,1,1,12,12,2,9
1,10169,2,2,55,63,5555,55
1,10169,3,2,9,59,9999,77
1,10170,1,1,55,63,5555,55
1,10170,2,1,55,69,5555,55
1,10170,3,1,55,64,5555,55
1,10170,4,1,1,42,9999,77
1,10171,1,1,55,63,5555,55
1,10171,2,1,55,69,5555,55
1,10171,3,1,55,63,5555,55
1,10171,4,1,11,35,9999,77
1,10171,5,1,0,1,9999,77
1,10172,1,1,55,63,5555,55
1,10172,2,1,12,34,9999,77
1,10172,3,1,12,53,9999,77
1,10172,4,1,12,59,9999,77
1,10172,5,1,12,32,9999,77
1,10172,6,1,0,1,9999,77
1,10173,1,2,12,12,1,3
1,10173,2,2,55,68,5555,55
1,10173,3,2,55,64,5555,55
1,10173,4,2,0,1,9999,77
1,10174,1,1,55,68,5555,55
1,10174,2,1,55,64,5555,55
1,10174,3,1,55,67,5555,55
1,10174,4,1,12,35,9999,77
1,10174,5,1,0,1,9999,77
1,10174,6,1,98,42,9999,77
1,10175,1,1,55,63,5555,55
1,10175,2,1,0,1,9999,77
1,10175,3,1,13,42,9999,77
1,10176,1,1,55,63,5555,55
1,10176,2,1,12,32,9999,77
1,10176,3,1,0,1,9999,77
1,10177,1,1,55,68,5555,55
1,10177,2,1,55,64,5555,55
1,10177,3,1,11,38,9999,77
1,10177,4,1,9,42,9999,77
1,10178,1,1,55,68,5555,55
1,10178,2,2,55,68,5555,55
1,10178,3,1,12,12,2,12
1,10179,1,2,12,12,1,10
1,10180,1,1,55,68,5555,55
1,10180,2,1,55,64,5555,55
1,10180,3,1,55,67,5555,55
1,10180,4,1,12,42,9999,77
1,10180,5,1,9,42,9999,77
1,10180,6,1,0,1,9999,77
1,10181,1,1,55,63,5555,55
1,10181,2,1,12,59,9999,77
1,10181,3,1,98,34,9999,77
1,10181,4,1,12,42,9999,77
1,10181,5,1,0,1,9999,77
1,10182,1,1,12,12,2,11
1,10182,2,2,55,63,5555,55
1,10182,3,2,98,30,9999,77
1,10182,4,2,98,43,9999,77
1,10183,1,1,55,68,5555,55
1,10183,2,1,12,9,9999,77
1,10184,1,1,55,63,5555,55
1,10184,2,1,5,42,9999,77
1,10184,3,1,12,42,9999,77
1,10185,1,1,14,58,9999,77
1,10185,2,1,55,67,5555,55
1,10185,3,1,14,58,9999,77
1,10185,4,1,55,67,5555,55
1,10185,5,1,14,12,2,13
1,10185,6,1,55,71,9999,77
1,10185,7,1,6,38,9999,77
1,10185,8,2,55,63,5555,55
1,10185,9,2,98,35,9999,77
1,10186,1,1,12,8,9999,77
1,10186,2,2,12,8,9999,77
1,10187,1,1,55,68,5555,55
1,10187,2,1,12,12,2,12
1,10188,1,1,55,63,5555,55
1,10188,2,1,12,42,9999,77
1,10188,3,1,12,34,9999,77
1,10188,4,1,98,42,9999,77
1,10188,5,1,0,2,9999,77
1,10189,1,1,55,63,5555,55
1,10189,2,1,2,42,9999,77
1,10189,3,1,12,42,9999,77
1,10189,4,1,19,42,9999,77
1,10190,1,2,12,12,1,9
1,10190,2,1,55,63,5555,55
1,10190,3,1,0,1,9999,77
1,10191,1,1,55,63,5555,55
1,10191,2,1,12,53,9999,77
1,10191,3,1,12,42,9999,77
1,10191,4,1,0,1,9999,77
1,10191,5,1,0,2,9999,77
1,10192,1,2,12,12,1,2
1,10193,1,1,55,64,5555,55
1,10193,2,1,3,42,9999,77
1,10194,1,2,11,12,1,5
1,10195,1,1,12,12,2,2
1,10196,1,1,55,68,5555,55
1,10196,2,1,55,64,5555,55
1,10196,3,1,12,14,2,10
1,10197,1,1,55,71,9999,77
1,10197,2,1,12,8,9999,77
1,10197,3,1,12,19,9999,77
1,10198,1,2,12,12,1,3
1,10198,2,1,55,64,5555,55
1,10198,3,1,12,34,9999,77
1,10199,1,1,55,63,5555,55
1,10199,2,1,6,38,9999,77
1,10200,1,1,55,68,5555,55
1,10200,2,1,55,64,5555,55
1,10200,3,1,55,69,5555,55
1,10200,4,1,0,1,9999,77
1,10200,5,1,55,64,5555,55
1,10200,6,1,98,34,9999,77
1,10201,1,1,55,63,5555,55
1,10201,2,1,12,34,9999,77
1,10201,3,1,12,42,9999,77
1,10202,1,1,0,1,9999,77
1,10202,2,1,55,63,5555,55
1,10202,3,1,13,24,9999,77
1,10202,4,1,2,24,9999,77
1,10203,1,1,55,63,5555,55
1,10203,2,1,55,69,5555,55
1,10203,3,1,55,65,5555,55
1,10203,4,1,12,12,2,7
1,10203,5,2,0,2,9999,77
1,10204,1,1,55,63,5555,55
1,10204,2,1,12,24,9999,77
1,10204,3,1,0,1,9999,77
1,10205,1,1,12,12,2,6
1,10205,2,2,55,64,5555,55
1,10205,3,2,12,25,9999,77
1,10205,4,1,98,12,3,7
1,10206,1,1,55,63,5555,55
1,10206,2,1,8,42,9999,77
1,10206,3,1,0,1,9999,77
1,10207,1,1,55,61,5555,55
1,10207,2,1,55,63,5555,55
1,10207,3,1,55,69,5555,55
1,10207,4,1,0,1,9999,77
1,10208,1,1,55,64,5555,55
1,10208,2,1,12,34,9999,77
1,10209,1,1,12,12,2,6
1,10209,2,1,55,63,5555,55
1,10209,3,1,98,42,9999,77
1,10209,4,1,0,1,9999,77
1,10210,1,1,55,68,5555,55
1,10210,2,1,12,12,2,12
1,10211,1,1,12,12,2,12
1,10212,1,1,55,63,5555,55
1,10212,2,1,0,1,9999,77
1,10213,1,1,12,12,2,10
1,10214,1,1,55,61,5555,55
1,10214,2,1,55,63,5555,55
1,10214,3,1,55,69,5555,55
1,10214,4,1,55,68,5555,55
1,10214,5,1,55,64,5555,55
1,10214,6,1,6,34,9999,77
1,10214,7,1,0,1,9999,77
1,10215,1,1,12,10,9999,77
1,10215,2,1,55,68,5555,55
1,10215,3,1,55,64,5555,55
1,10215,4,1,0,1,9999,77
1,10215,5,1,0,2,9999,77
1,10216,1,1,12,8,9999,77
1,10217,1,2,12,12,1,8
1,10218,1,1,55,68,5555,55
1,10218,2,1,55,64,5555,55
1,10218,3,1,12,34,9999,77
1,10218,4,1,0,1,9999,77
1,10218,5,1,98,43,9999,77
1,10219,1,1,55,68,5555,55
1,10219,2,1,55,64,5555,55
1,10219,3,1,55,69,5555,55
1,10219,4,1,55,68,5555,55
1,10219,5,1,55,63,5555,55
1,10219,6,1,11,35,9999,77
1,10219,7,1,0,1,9999,77
1,10220,1,1,55,68,5555,55
1,10220,2,1,55,64,5555,55
1,10220,3,1,0,1,9999,77
1,10221,1,1,55,68,5555,55
1,10221,2,1,55,64,5555,55
1,10221,3,1,4,32,9999,77
1,10221,4,1,55,67,5555,55
1,10221,5,1,98,42,9999,77
1,10221,6,1,13,42,9999,77
1,10222,1,1,55,68,5555,55
1,10222,2,1,12,12,2,12
1,10223,1,1,55,68,5555,55
1,10223,2,1,12,12,2,12
1,10224,1,1,8,12,2,1
1,10225,1,1,99,8,9999,77
1,10226,1,1,55,63,5555,55
1,10226,2,1,55,69,5555,55
1,10226,3,1,55,68,5555,55
1,10226,4,1,55,68,5555,55
1,10226,5,1,55,63,5555,55
1,10226,6,1,3,34,9999,77
1,10226,7,1,0,1,9999,77
1,10227,1,1,0,1,9999,77
1,10227,2,1,19,54,2,6
1,10227,3,1,12,12,2,6
1,10228,1,1,55,63,5555,55
1,10228,2,1,5,24,9999,77
1,10228,3,1,0,1,9999,77
1,10229,1,1,55,68,5555,55
1,10229,2,1,12,12,2,12
1,10230,1,1,12,12,2,6
1,10230,2,2,55,64,5555,55
1,10230,3,2,98,43,9999,77
1,10230,4,2,0,1,9999,77
1,10231,1,1,55,68,5555,55
1,10231,2,1,55,64,5555,55
1,10231,3,1,12,42,9999,77
1,10231,4,1,0,1,9999,77
1,10232,1,1,55,68,5555,55
1,10232,2,1,12,12,2,12
1,10232,3,1,12,12,3,12
1,10232,4,3,55,63,5555,55
1,10232,5,3,0,1,9999,77
1,10233,1,1,55,68,5555,55
1,10233,2,1,55,64,5555,55
1,10233,3,1,55,69,5555,55
1,10233,4,1,55,68,5555,55
1,10233,5,1,55,63,5555,55
1,10233,6,1,12,42,9999,77
1,10233,7,1,0,1,9999,77
1,10234,1,1,55,64,5555,55
1,10234,2,1,0,1,9999,77
1,10235,1,1,55,68,5555,55
1,10235,2,1,55,64,5555,55
1,10235,3,1,12,42,9999,77
1,10235,4,1,0,1,9999,77
1,10236,1,1,55,68,5555,55
1,10236,2,1,55,64,5555,55
1,10236,3,1,0,1,9999,77
1,10236,4,1,12,43,9999,77
1,10237,1,1,13,18,9999,77
1,10238,1,1,55,63,5555,55
1,10238,2,1,12,18,9999,77
1,10239,1,2,12,12,1,9
1,10240,1,1,55,68,5555,55
1,10240,2,1,55,64,5555,55
1,10240,3,2,55,63,5555,55
1,10240,4,1,12,12,2,12
1,10241,1,1,55,68,5555,55
1,10241,2,1,55,68,5555,55
1,10241,3,1,55,63,5555,55
1,10241,4,1,12,32,9999,77
