STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
6,60614,0,1,14
6,60615,0,1,3
6,60618,0,1,5
6,60621,0,1,5
6,60622,0,1,3
6,60624,0,1,3
6,60631,0,1,3
6,60636,0,1,14
6,60637,0,1,14
6,60639,0,1,5
6,60643,0,1,3
6,60644,0,1,3
6,60646,0,1,3
6,60648,0,1,3
6,60650,0,1,5
6,60650,0,2,5
6,60650,0,3,5
6,60653,0,1,3
6,60654,0,1,3
6,60656,0,1,3
6,60657,0,1,3
6,60660,0,1,3
6,60661,0,1,14
6,60667,0,1,6
6,60671,0,1,3
6,60672,0,1,3
6,60674,0,1,3
6,60675,0,1,5
6,60676,0,1,98
6,60678,0,1,3
6,60679,0,1,3
6,60680,0,1,3
6,60688,0,1,8
6,60691,0,1,3
6,60695,0,1,6
6,60699,0,1,3
6,60702,0,1,3
6,60703,0,1,6
6,60706,0,1,3
6,60711,0,1,3
6,60717,0,1,3
6,60718,0,1,3
6,60719,0,1,3
6,60720,0,1,3
6,60723,0,1,9
6,60725,0,1,3
6,60727,0,1,5
6,60729,0,1,3
6,60738,0,1,3
6,60740,0,1,3
6,60752,0,1,3
6,60755,0,1,3
6,60760,0,1,3
6,60761,0,1,3
6,60762,0,1,3
6,60764,0,1,3
6,60768,0,1,3
6,60769,0,1,5
6,60778,0,1,3
6,60779,0,1,12
6,60779,0,2,12
6,60781,0,1,3
6,60784,0,1,5
6,60791,0,1,6
6,60792,0,1,3
6,60804,0,1,3
6,60851,0,1,3
6,60853,0,1,3
6,60854,0,1,6
6,60861,0,1,3
6,60863,0,1,3
6,60865,0,1,3
6,60867,0,1,14
6,60868,0,1,3
6,60877,0,1,8
6,60877,0,1,14
6,60878,0,1,3
6,60908,0,1,5
6,60911,0,1,5
6,60912,0,1,3
6,60920,0,1,3
6,60927,0,1,5
6,60930,0,1,8
6,60934,0,1,3
6,60940,0,1,3
6,60943,0,1,5
6,60948,0,1,6
6,60952,0,1,5
6,60961,0,1,5
6,60969,0,1,3
6,60972,0,1,3
6,60972,0,2,3
6,60974,0,1,3
6,60976,0,1,3
6,60983,0,1,5
6,60984,0,1,8
6,60984,0,2,8
6,60987,0,1,12
6,60992,0,1,3
6,60999,0,1,8
6,61002,0,1,3
6,61015,0,1,3
6,61017,0,1,5
6,61026,0,1,8
6,61029,0,1,12
6,61030,0,1,3
6,61040,0,1,14
6,61040,0,2,14
6,61040,0,3,14
6,61040,0,4,14
6,61044,0,1,3
6,61047,0,1,3
6,61049,0,1,9
6,61050,0,1,3
6,61052,0,1,3
6,61057,0,1,5
6,61058,0,1,5
6,61060,0,1,5
6,61062,0,1,3
6,61068,0,1,3
6,61069,0,1,3
6,61070,0,1,3
6,61082,0,1,3
6,61087,0,1,12
6,61096,0,1,5
6,61101,0,1,5
6,61102,0,1,12
6,61103,0,1,3
6,61105,0,1,3
6,61106,0,1,3
6,61107,0,1,3
6,61117,0,1,3
6,61117,0,2,3
6,61121,0,1,5
6,61123,0,1,5
6,61129,0,1,3
6,61132,0,1,8
6,61134,0,1,3
6,61138,0,1,2
6,61138,0,1,9
6,61138,0,2,2
6,61138,0,2,9
6,61138,0,3,2
6,61138,0,3,9
6,61138,0,4,2
6,61138,0,4,9
6,61142,0,1,3
6,61149,0,1,5
6,61150,0,1,8
6,61151,0,1,3
6,61154,0,1,99
6,61155,0,1,12
6,61155,0,2,12
6,61155,0,3,12
6,61158,0,1,3
6,61160,0,1,3
6,61172,0,1,12
6,61176,0,1,12
6,61178,0,1,3
6,61190,0,1,3
6,61198,0,1,5
6,61203,0,1,12
6,61212,0,1,3
6,61213,0,1,3
6,61219,0,1,8
6,61237,0,1,12
6,61242,0,1,3
6,61243,0,1,14
6,61244,0,1,3
6,61245,0,1,3
6,61245,0,2,3
6,61246,0,1,3
6,61251,0,1,3
6,61254,0,1,3
6,61258,0,1,3
6,61259,0,1,5
6,61260,0,1,3
6,61261,0,1,8
6,61264,0,1,3
6,61265,0,1,5
6,61266,0,1,11
6,61266,0,1,12
6,61268,0,1,6
6,61269,0,1,3
6,61273,0,1,3
6,61274,0,1,3
6,61281,0,1,3
6,61283,0,1,8
6,61284,0,1,3
6,61285,0,1,12
6,61287,0,1,8
6,61289,0,1,3
6,61292,0,1,3
6,61302,0,1,3
6,61305,0,1,3
6,61309,0,1,3
6,61320,0,1,5
6,61321,0,1,5
6,61327,0,1,3
6,61331,0,1,12
6,61331,0,2,12
6,61333,0,1,12
6,61333,0,2,12
6,61339,0,1,3
6,61348,0,1,14
6,61353,0,1,3
6,61354,0,1,5
6,61357,0,1,3
6,61361,0,1,8
6,61365,0,1,3
6,61381,0,1,3
6,61383,0,1,8
6,61384,0,1,5
6,61387,0,1,3
6,61391,0,1,3
6,61397,0,1,3
6,61402,0,1,5
6,61404,0,1,3
6,61406,0,1,99
6,61415,0,1,8
6,61416,0,1,12
6,61419,0,1,3
6,61420,0,1,3
6,61421,0,1,3
6,61422,0,1,8
6,61423,0,1,3
6,61450,0,1,3
6,61452,0,1,5
6,61454,0,1,3
6,61459,0,1,3
6,61466,0,1,5
6,61473,0,1,14
6,61475,0,1,3
6,61477,0,1,3
6,61478,0,1,3
6,61479,0,1,3
6,61480,0,1,3
6,61481,0,1,3
6,61487,0,1,8
6,61489,0,1,8
6,61489,0,1,12
6,61490,0,1,3
6,61497,0,1,3
6,61498,0,1,8
6,61499,0,1,3
6,61501,0,1,3
6,61502,0,1,3
6,61503,0,1,3
6,61504,0,1,6
6,61505,0,1,3
6,61506,0,1,3
6,61507,0,1,3
6,61508,0,1,3
6,61510,0,1,3
6,61511,0,1,3
6,61514,0,1,3
6,61515,0,1,14
6,61518,0,1,3
6,61520,0,1,6
6,61523,0,1,5
6,61525,0,1,3
6,61526,0,1,3
6,61527,0,1,3
6,61530,0,1,14
6,61530,0,2,14
6,61534,0,1,5
6,61538,0,1,6
6,61541,0,1,5
6,61542,0,1,5
6,61544,0,1,3
6,61550,0,1,12
6,61550,0,2,12
6,61554,0,1,6
6,61554,0,1,12
6,61556,0,1,3
6,61558,0,1,5
6,61561,0,1,14
6,61562,0,1,16
6,61565,0,1,3
6,61571,0,1,6
6,61572,0,1,3
6,61574,0,1,3
6,61577,0,1,6
6,61578,0,1,3
6,61580,0,1,3
6,61584,0,1,3
6,61586,0,1,11
6,61586,0,1,12
6,61593,0,1,3
6,61594,0,1,5
6,61597,0,1,8
6,61610,0,1,3
6,61617,0,1,3
6,61618,0,1,3
6,61628,0,1,3
6,61630,0,1,5
6,61631,0,1,3
6,61632,0,1,3
6,61633,0,1,99
6,61637,0,1,3
6,61638,0,1,2
6,61640,0,1,3
6,61641,0,1,8
6,61645,0,1,3
6,61649,0,1,3
6,61653,0,1,3
6,61654,0,1,8
6,61655,0,1,5
6,61657,0,1,3
6,61659,0,1,3
6,61660,0,1,3
6,61661,0,1,5
6,61672,0,1,8
6,61673,0,1,3
6,61675,0,1,3
6,61677,0,1,3
6,61681,0,1,2
6,61682,0,1,9
6,61686,0,1,5
6,61687,0,1,3
6,61688,0,1,3
6,61695,0,1,5
6,61698,0,1,3
6,61699,0,1,5
6,61700,0,1,3
6,61701,0,1,14
6,61704,0,1,3
6,61704,0,2,3
6,61707,0,1,3
6,61710,0,1,5
6,61715,0,1,5
6,61719,0,1,8
6,61723,0,1,3
6,61725,0,1,14
6,61728,0,1,3
6,61730,0,1,3
6,61738,0,1,5
6,61741,0,1,3
6,61742,0,1,3
6,61742,0,2,14
6,61744,0,1,3
6,61745,0,1,3
6,61746,0,1,3
6,61747,0,1,3
6,61748,0,1,5
6,61749,0,1,3
6,61750,0,1,3
6,61753,0,1,3
6,61764,0,1,3
6,61765,0,1,3
6,61768,0,1,3
6,61771,0,1,2
6,61771,0,2,2
6,61773,0,1,3
6,61774,0,1,3
6,61778,0,1,3
6,61796,0,1,3
6,61804,0,1,3
6,61818,0,1,3
6,61826,0,1,3
6,61827,0,1,3
6,61830,0,1,5
6,61833,0,1,3
6,61835,0,1,3
6,61836,0,1,5
6,61837,0,1,5
6,61839,0,1,3
6,61839,0,2,3
6,61842,0,1,8
6,61842,0,2,8
6,61849,0,1,12
6,61853,0,1,3
6,61867,0,1,14
6,61868,0,1,3
6,61870,0,1,3
6,61875,0,1,8
6,61876,0,1,3
6,61880,0,1,14
6,61881,0,1,9
6,61881,0,2,9
6,61884,0,1,3
6,61889,0,1,3
6,61890,0,1,5
6,61890,0,2,5
6,61901,0,1,3
6,61902,0,1,8
6,61904,0,1,3
6,61905,0,1,12
6,61907,0,1,3
6,61910,0,1,3
6,61911,0,1,3
6,61912,0,1,5
6,61914,0,1,3
6,61917,0,1,3
6,61923,0,1,3
6,61924,0,1,5
6,61926,0,1,8
6,61928,0,1,3
6,61929,0,1,3
6,61930,0,1,3
6,61931,0,1,3
6,61932,0,1,3
6,61933,0,1,3
6,61934,0,1,5
6,61935,0,1,14
6,61936,0,1,3
6,61938,0,1,5
6,61940,0,1,5
6,61943,0,1,3
6,61944,0,1,8
6,61945,0,1,3
6,61951,0,1,3
6,61952,0,1,14
6,61953,0,1,3
6,61956,0,1,14
6,61959,0,1,5
6,61965,0,1,8
6,61967,0,1,5
6,61969,0,1,3
6,61971,0,1,3
6,61972,0,1,3
6,61974,0,1,3
6,61974,0,2,3
6,61982,0,1,5
6,61984,0,1,8
6,61986,0,1,3
6,61987,0,1,3
6,61988,0,1,3
6,61989,0,1,3
6,61990,0,1,3
6,61991,0,1,3
6,61992,0,1,3
6,61993,0,1,3
6,61994,0,1,3
6,61995,0,1,3
6,61996,0,1,3
6,61997,0,1,3
6,61998,0,1,3
6,62004,0,1,5
6,62006,0,1,3
6,62008,0,1,12
6,62012,0,1,3
6,62013,0,1,8
6,62020,0,1,6
6,62023,0,1,3
6,62026,0,1,5
6,62027,0,1,5
6,62028,0,1,5
6,62039,0,1,3
6,62040,0,1,3
6,62041,0,1,3
6,62042,0,1,8
6,62043,0,1,3
6,62048,0,1,3
6,62049,0,1,3
6,62050,0,1,3
6,62051,0,1,14
6,62055,0,1,12
6,62059,0,1,3
6,62060,0,1,3
6,62061,0,1,3
6,62062,0,1,11
6,62069,0,1,6
6,62071,0,1,3
6,62073,0,1,99
6,62082,0,1,3
6,62083,0,1,3
6,62084,0,1,3
6,62085,0,1,3
6,62089,0,1,3
6,62090,0,1,3
6,62095,0,1,3
6,62098,0,1,3
6,62101,0,1,3
6,62103,0,1,3
6,62103,0,2,3
6,62104,0,1,3
6,62106,0,1,3
6,62110,0,1,3
6,62111,0,1,3
6,62117,0,1,3
6,62123,0,1,12
6,62134,0,1,9
6,62134,0,1,12
6,62134,0,1,14
6,62136,0,1,8
6,62136,0,2,8
6,62144,0,1,5
6,62146,0,1,14
6,62157,0,1,5
6,62158,0,1,3
6,62161,0,1,5
6,62164,0,1,12
6,62164,0,2,12
6,62165,0,1,12
6,62167,0,1,5
6,62169,0,1,3
6,62171,0,1,6
6,62173,0,1,5
6,62177,0,1,3
6,62178,0,1,6
6,62179,0,1,3
6,62182,0,1,3
6,62184,0,1,3
6,62186,0,1,3
6,62188,0,1,8
6,62194,0,1,3
6,62195,0,1,3
6,62195,0,2,3
6,62199,0,1,3
6,62201,0,1,3
6,62203,0,1,14
6,62204,0,1,3
6,62214,0,1,5
6,62216,0,1,3
6,62226,0,1,12
6,62241,0,1,3
6,62250,0,1,12
6,62253,0,1,8
6,62257,0,1,11
6,62270,0,1,3
6,62271,0,1,12
6,62271,0,2,12
6,62274,0,1,5
6,62275,0,1,3
6,62276,0,1,5
6,62278,0,1,3
6,62279,0,1,9
6,62280,0,1,5
6,62283,0,1,8
6,62284,0,1,6
6,62285,0,1,3
6,62287,0,1,8
6,62289,0,1,3
6,62290,0,1,5
6,62293,0,1,3
6,62296,0,1,3
6,62304,0,1,3
6,62306,0,1,3
6,62308,0,1,2
6,62309,0,1,5
6,62310,0,1,6
6,62319,0,1,12
6,62319,0,1,14
6,62326,0,1,8
6,62330,0,1,3
6,62332,0,1,3
6,62338,0,1,12
6,62338,0,2,12
6,62338,0,3,12
6,62340,0,1,3
6,62341,0,1,5
6,62347,0,1,12
6,62347,0,2,12
6,62351,0,1,3
6,62360,0,1,3
6,62363,0,1,3
6,62366,0,1,99
6,62376,0,1,3
6,62378,0,1,3
6,62380,0,1,8
6,62385,0,1,8
