STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
6,60304,2,1,1,11,3,8,49,14,0,2,0,4,6,7,482,7482,34,2003,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,6,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60317,2,1,0,5,2,13,18,14,0,2,0,6,6,20,481,20481,34,1996,1GCGC29F5TE2,1,G,C,G,C,2,9,F,5,T,E,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60317,3,1,0,5,2,13,18,14,0,2,0,6,6,20,481,20481,34,2001,1GCHK29161E1,1,G,C,H,K,2,9,1,6,1,E,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60322,2,1,0,19,1,7,55,33,0,2,0,6,6,12,473,12473,34,2003,1FMZU67E23UA,1,F,M,Z,U,6,7,E,2,3,U,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60322,3,1,0,19,1,7,55,33,0,2,0,6,6,69,54,69054,3,2006,WMWRC33506TJ,W,M,W,R,C,3,3,5,0,6,T,J,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,14,0,0,0,0,777777777777,777777777777,777777777777
6,60322,4,1,0,19,1,7,55,33,0,2,0,6,6,20,471,20471,34,1984,1GCDT14B4E82,1,G,C,D,T,1,4,B,4,E,8,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,4,5,14,0,0,0,0,777777777777,777777777777,777777777777
6,60322,5,1,0,19,1,7,55,33,0,2,0,6,6,37,31,37031,2,1995,JHMEH6260SS0,J,H,M,E,H,6,2,6,0,S,S,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,14,0,0,0,0,777777777777,777777777777,777777777777
6,60322,6,1,0,19,1,7,55,33,0,2,0,6,6,37,31,37031,4,1997,2HGEJ6678VH5,2,H,G,E,J,6,6,7,8,V,H,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,2,5,14,0,0,0,0,777777777777,777777777777,777777777777
6,60347,3,2,0,24,1,13,57,1,0,2,0,6,6,12,471,12471,34,2000,1FTYR10V1YPA,1,F,T,Y,R,1,0,V,1,Y,P,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60363,2,1,0,9,2,23,48,59,0,3,0,6,6,14,6,14006,4,2004,2MEFM75W14X6,2,M,E,F,M,7,5,W,1,4,X,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60366,2,1,0,28,2,8,15,8,0,2,0,6,6,49,32,49032,4,1998,1NXBR12EXWZ1,1,N,X,B,R,1,2,E,X,W,Z,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60375,2,1,1,8,3,10,50,14,0,2,0,6,6,82,881,82881,66,2009,1FUJGLBG39LA,1,F,U,J,G,L,B,G,3,9,L,A,1,57,2156174,572156174,3,6,1,1,0,0,0,0,0,0,0,0,6,2,3,12,0,0,0,0,1DNC412S9EM0,777777777777,777777777777
6,60407,3,2,0,12,3,6,38,14,0,2,0,6,6,12,481,12481,34,2002,1FTRX17232NB,1,F,T,R,X,1,7,2,3,2,N,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,2,1,0,22,2,0,29,43,0,3,0,6,6,49,40,49040,4,2014,4T1BF1FK2EU4,4,T,1,B,F,1,F,K,2,E,U,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,6,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,3,1,0,22,2,0,29,43,0,3,0,6,6,20,431,20431,16,2001,1GNEC16T01J2,1,G,N,E,C,1,6,T,0,1,J,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,4,1,0,22,2,0,29,43,0,3,0,6,6,49,472,49472,34,2015,3TMJU4GN7FM1,3,T,M,J,U,4,G,N,7,F,M,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,5,1,0,22,2,0,29,43,0,3,0,6,6,12,3,12003,2,2001,1FAFP42X71F1,1,F,A,F,P,4,2,X,7,1,F,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,6,1,0,22,2,0,29,43,0,3,0,6,6,49,46,49046,5,2015,JTDKN3DU8F20,J,T,D,K,N,3,D,U,8,F,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,4,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,7,1,0,22,2,0,29,43,0,3,0,6,6,37,32,37032,4,2004,1HGCM66574A0,1,H,G,C,M,6,6,5,7,4,A,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,4,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60411,8,1,0,22,2,0,29,43,0,3,0,6,6,35,51,35051,6,2017,KNMAT2MVXHP5,K,N,M,A,T,2,M,V,X,H,P,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
