A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
3,5,9,6,6,6,8,5,2,10095,1,1,2012,1,1,1,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,10096,1,1,2012,1,2,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10096,1,2,2012,2,2,3,1,4,5,2,1,1
1,1,4,1,1,1,3,1,1,10096,1,3,2012,2,2,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,10096,1,4,2012,2,1,3,1,4,5,1,1,1
3,4,7,4,4,4,6,2,2,10097,1,1,2012,1,2,4,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10098,1,1,2012,1,1,3,1,1,2,1,1,1
1,1,2,1,1,1,2,1,1,10098,1,2,2012,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,10099,1,1,2012,1,1,3,1,1,2,1,1,1
5,6,13,8,10,10,12,7,3,10099,1,2,2012,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10100,1,1,2012,1,2,3,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10101,1,1,2012,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10101,1,2,2012,2,1,3,1,1,2,2,1,1
3,5,9,6,6,6,8,5,2,10101,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10101,2,2,2012,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10102,1,1,2012,1,1,3,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10103,1,1,2012,1,2,3,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,10104,0,1,2012,3,3,2,1,2,3,1,1,3
4,5,10,6,7,7,9,6,2,10104,1,1,2012,1,1,1,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10105,1,1,2012,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10105,2,1,2012,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,10105,2,2,2012,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10105,2,3,2012,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10105,2,4,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10106,1,1,2012,1,1,1,1,2,3,1,1,1
4,5,12,7,9,9,11,6,2,10106,2,1,2012,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,10107,1,1,2012,1,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10107,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10108,1,1,2012,1,2,3,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,10108,2,1,2012,1,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10108,2,2,2012,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10108,3,1,2012,1,1,3,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,10108,3,2,2012,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,10108,3,3,2012,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10109,1,1,2012,1,2,2,1,2,3,1,1,1
3,5,8,5,5,5,7,3,2,10109,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10110,1,1,2012,1,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10110,2,1,2012,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10110,3,1,2012,1,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10111,1,1,2012,1,1,4,1,1,2,2,1,1
3,5,9,6,6,6,8,5,2,10112,1,1,2012,1,3,2,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10112,1,2,2012,2,2,2,1,2,3,1,1,1
3,5,8,5,5,5,7,4,2,10113,1,1,2012,1,2,1,1,2,3,1,1,1
2,3,6,3,3,3,5,2,2,10113,2,1,2012,1,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10113,2,2,2012,2,2,1,1,2,3,1,1,1
3,4,7,4,4,4,6,3,2,10114,1,1,2012,1,1,1,1,1,2,1,1,1
1,1,2,1,1,1,1,1,1,10114,1,2,2012,2,2,3,0,0,0,2,6,1
4,5,10,6,7,7,9,6,2,10115,1,1,2012,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10115,2,1,2012,1,2,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10115,2,2,2012,2,2,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,10116,1,1,2012,1,2,1,1,2,3,1,1,1
3,4,7,4,4,4,6,3,2,10116,1,2,2012,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10117,0,1,2012,3,3,1,2,1,1,1,1,4
3,5,9,6,6,6,8,5,2,10117,1,1,2012,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10117,2,1,2012,1,3,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10119,1,1,2012,1,1,3,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,10119,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10120,1,1,2012,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10120,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10120,2,2,2012,2,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10120,2,3,2012,2,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10121,1,1,2012,1,1,4,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10121,2,1,2012,1,1,1,1,2,3,1,1,1
2,2,5,2,2,2,4,1,2,10122,1,1,2012,1,1,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,10122,1,2,2012,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10122,1,3,2012,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10122,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10123,1,1,2012,1,2,2,1,1,2,2,1,1
4,5,11,7,8,8,10,6,2,10124,1,1,2012,1,2,3,1,2,3,1,1,1
2,3,6,3,3,3,5,2,2,10125,1,1,2012,1,2,1,1,1,2,1,1,1
2,2,5,2,2,2,4,2,2,10125,1,2,2012,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10125,1,3,2012,2,2,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10126,1,1,2012,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10126,1,2,2012,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,10126,1,3,2012,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,10126,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10127,1,1,2012,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10128,1,1,2012,1,1,2,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,10129,1,1,2012,1,2,2,1,1,2,2,1,1
2,3,6,3,3,3,5,2,2,10130,1,1,2012,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10130,1,2,2012,2,2,3,1,2,3,2,1,1
2,2,5,2,2,2,4,1,2,10130,1,3,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10130,1,4,2012,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10130,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10131,1,1,2012,1,2,4,1,4,5,1,1,1
3,5,9,6,6,6,8,4,2,10132,1,1,2012,1,1,1,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,10133,1,1,2012,1,2,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10133,1,2,2012,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10134,1,1,2012,1,1,3,1,2,3,1,1,1
4,5,11,7,8,8,10,6,2,10134,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10135,1,1,2012,1,1,2,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10135,1,2,2012,2,2,2,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10136,1,1,2012,1,2,2,2,1,1,2,1,1
