ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10128,1,1,11,0,0,0,0,0,0,0,0,15
10129,1,1,0,0,0,0,0,0,0,0,0,0
10130,0,1,0,0,0,0,0,36,31,0,0,0
10130,1,1,0,0,0,0,0,0,0,0,0,0
10131,1,1,0,0,0,0,0,0,0,0,0,0
10132,1,1,0,0,0,0,0,0,0,0,0,0
10133,1,1,20,20,20,20,20,20,20,20,20,20
10134,1,1,0,0,0,0,0,0,0,0,0,0
10134,2,1,0,0,0,0,0,0,0,0,0,0
10134,3,1,0,0,0,0,0,0,0,0,0,0
10135,1,1,0,0,0,0,0,0,0,0,0,0
10136,1,1,16,16,16,16,16,16,16,16,16,16
10137,1,1,0,12,0,23,0,0,0,0,0,0
10138,1,1,0,0,13,0,0,0,0,0,26,0
10138,2,1,0,0,12,0,0,0,0,0,0,0
10139,1,1,16,20,0,0,21,23,0,0,0,20
10140,1,1,7,7,7,7,7,7,7,7,7,7
10141,1,1,4,4,4,4,4,4,4,4,4,4
10142,1,1,24,24,24,24,24,24,24,24,24,24
10143,1,1,0,0,0,0,0,0,0,0,0,0
10143,2,1,0,0,0,0,0,0,0,0,0,0
10144,1,1,0,0,0,0,0,0,0,0,0,0
10144,2,1,21,0,0,0,0,0,0,0,0,0
10145,1,1,0,0,0,0,0,0,0,0,0,0
10145,2,1,4,4,4,4,4,4,4,4,4,4
10146,0,1,23,10,17,32,14,5,16,41,13,22
10146,0,2,13,40,27,22,16,39,13,27,22,8
10146,1,1,8,18,0,12,0,15,0,4,4,5
10147,0,1,0,0,0,0,0,0,0,0,0,0
10147,1,1,0,0,0,0,0,0,0,0,0,0
10148,0,1,16,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10148,2,1,0,20,0,0,0,0,0,0,0,0
10149,1,1,0,0,12,16,25,0,0,15,0,0
10150,1,1,0,0,0,0,0,0,0,0,0,0
10150,2,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,0,0,0,0,0,0,0,0,0,0
10151,2,1,8,0,0,0,0,0,0,0,0,0
10152,1,1,0,0,0,0,0,0,0,0,0,0
10152,2,1,0,0,0,0,0,0,0,0,0,0
10153,0,1,4,4,4,4,4,4,4,4,4,4
10153,1,1,0,0,0,0,0,0,0,0,0,0
10154,1,1,0,0,0,0,0,0,0,0,0,0
10155,1,1,0,0,0,0,0,0,0,0,0,0
10155,2,1,0,0,0,0,0,0,0,0,0,0
10156,1,1,22,22,22,22,22,22,22,22,22,22
10157,1,1,0,0,0,0,0,0,0,0,0,0
10158,1,1,24,24,24,24,24,24,24,24,24,24
10159,1,1,0,0,0,0,0,0,0,0,0,0
10159,2,1,25,25,25,25,25,25,25,25,25,25
10160,1,1,0,0,0,0,0,0,0,0,0,0
10161,0,1,4,4,4,4,4,4,4,4,4,4
10161,1,1,0,0,0,0,0,0,0,0,0,0
10162,1,1,0,0,0,0,0,0,0,0,0,0
10163,1,1,0,0,0,0,0,0,0,0,0,0
10164,1,1,0,0,0,0,0,0,0,0,0,0
10164,2,1,0,0,0,0,0,0,0,0,0,0
10165,1,1,0,0,0,0,0,0,0,0,16,16
10166,1,1,0,0,0,0,0,0,0,0,0,0
10167,1,1,0,0,0,0,0,0,0,0,0,0
10167,2,1,0,0,0,0,0,0,0,0,0,0
10168,1,1,0,0,0,0,0,0,0,0,0,0
10168,2,1,0,0,0,0,0,0,0,0,0,0
10169,1,1,7,7,7,7,7,7,7,7,7,7
10170,1,1,20,20,20,20,20,20,20,20,20,20
10171,0,1,0,0,0,0,0,0,0,0,0,0
10171,0,2,0,0,0,0,0,0,0,0,0,0
10171,1,1,0,0,0,0,0,0,0,0,0,0
10171,2,1,0,0,0,0,0,13,0,18,0,12
10172,1,1,0,0,0,0,0,0,0,0,0,0
10172,2,1,0,0,0,0,0,0,0,0,0,0
10173,1,1,28,25,9,25,23,18,22,0,6,26
10174,2,1,16,16,16,16,16,16,16,16,16,16
10175,1,1,0,0,0,0,0,0,0,0,0,0
10176,1,1,29,29,29,29,29,29,29,29,29,29
10177,1,1,21,21,21,21,21,21,21,21,21,21
10178,1,1,0,0,0,0,0,0,0,0,0,0
10179,1,1,0,0,0,0,0,0,0,0,0,0
10180,1,1,12,12,12,12,12,12,12,12,12,12
10181,1,1,13,13,13,13,13,13,13,13,13,13
10182,1,1,0,0,0,23,0,0,0,0,0,10
10183,1,1,0,0,0,0,0,0,0,0,0,0
10184,0,1,0,39,27,0,0,8,23,11,11,0
