YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2010,1,10049,83,1,1,4,1,2,1,1,3,1,4,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,1,1,0,0,0
2010,1,10050,77,3,1,4,2,2,1,1,2,1,4,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10051,71,1,1,4,2,2,1,2,4,2,4,1,1,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10052,15,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10053,77,1,1,4,1,2,1,2,3,2,4,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10054,77,1,1,4,1,2,1,2,4,2,4,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10055,3,1,1,4,1,2,1,2,3,2,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10056,117,1,1,4,2,2,1,2,4,2,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10057,55,1,1,4,1,2,1,2,5,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10058,121,1,1,4,1,2,4,2,6,2,1,2,2,1,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10059,55,1,1,4,1,3,4,2,7,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10060,103,1,1,4,2,2,1,2,2,2,5,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10061,9,1,1,4,1,2,4,2,3,2,1,2,1,1,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10062,83,1,1,4,1,2,1,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
