ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10260,8,8,8,8,8,8,8,8,8,8
10261,0,0,0,0,0,0,0,0,0,0
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,27,27,27,27,27,27,27,27,27,27
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,12,0,0,0,0,0,0
10268,24,24,24,24,24,24,24,24,24,24
10269,0,0,0,22,0,0,0,0,0,0
10270,15,15,15,15,15,15,15,15,15,15
10271,0,0,0,0,0,0,0,0,0,0
10272,0,0,0,0,0,0,0,0,0,0
10273,0,0,0,0,0,0,0,0,0,0
10274,35,35,35,35,35,35,35,35,35,35
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,0,0,0,0,0
10277,4,14,7,16,18,4,11,27,0,16
10278,0,0,0,0,0,0,0,0,0,0
10279,18,6,6,25,6,6,6,6,6,6
10280,25,25,25,25,25,25,25,25,25,25
10281,11,11,11,11,11,11,11,11,11,11
10282,0,0,0,0,0,0,0,0,0,4
10283,0,0,0,21,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0
10285,4,4,4,4,4,4,4,17,6,4
10286,6,6,6,6,6,6,6,6,6,6
10287,0,0,0,0,0,0,0,0,0,0
10288,0,0,0,0,0,0,0,0,0,0
10289,20,8,16,16,22,8,16,22,30,22
10290,0,0,0,0,0,0,0,0,0,0
10291,0,0,0,0,0,0,0,16,0,0
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,11,20,0,18,14,0,13,21
10294,14,0,18,0,4,0,0,17,15,14
10295,21,21,21,21,21,21,21,21,21,21
10296,26,20,20,20,20,20,20,22,20,20
10297,22,0,0,0,0,0,0,0,0,0
10298,4,4,4,4,4,4,4,4,4,4
10299,0,0,11,0,0,0,0,18,0,0
10300,0,0,7,0,0,0,0,0,0,0
10301,16,16,16,16,16,16,16,16,16,16
10302,6,6,6,6,6,6,6,6,6,6
10303,12,12,12,12,12,12,12,12,12,12
10304,10,10,10,10,10,10,10,10,10,10
10305,15,9,41,40,25,13,25,24,16,27
10306,0,5,0,0,0,0,0,0,0,3
10307,0,0,0,0,17,0,0,0,0,21
10308,0,0,0,0,0,0,0,0,0,0
10309,24,24,24,24,24,24,24,24,24,24
10310,11,0,0,0,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,0,0
10317,12,12,12,12,12,12,12,12,12,12
10318,0,0,0,0,0,0,0,0,0,0
10319,0,0,0,0,0,0,0,0,0,0
10320,0,0,0,0,0,0,0,0,0,0
10321,5,5,5,5,5,5,5,5,5,5
10322,13,13,13,13,13,13,13,13,13,13
10323,0,0,0,11,0,0,0,0,0,0
10324,19,19,19,19,19,19,19,19,19,19
10325,0,0,0,0,0,0,0,0,0,0
10326,39,39,39,39,39,39,39,39,39,39
10327,0,0,0,0,0,0,0,0,0,0
10328,21,21,24,23,21,21,21,21,21,21
10329,0,0,0,0,0,0,0,0,0,0
10330,0,0,0,0,0,0,0,0,0,0
10331,3,3,3,3,3,3,3,3,3,3
10332,16,16,16,16,16,16,16,16,16,16
10333,0,0,0,0,0,0,0,0,0,0
10334,0,0,0,0,0,17,0,0,0,0
10335,18,18,18,18,18,18,18,18,18,18
10336,39,0,7,0,0,0,0,0,8,17
10337,0,0,0,0,19,0,0,0,0,0
10338,26,26,26,26,26,26,26,26,26,26
10339,0,0,0,0,0,0,0,0,0,0
10340,19,19,19,19,19,19,19,19,19,19
10341,19,0,0,8,0,0,5,8,13,0
10342,11,11,11,11,11,11,11,11,11,11
10343,21,21,21,21,21,21,21,21,21,21
10344,0,0,0,0,0,0,0,0,0,0
10345,10,10,10,10,10,10,10,10,10,10
10346,0,0,0,0,0,0,0,0,0,0
10347,0,0,0,0,0,0,0,0,0,0
10348,11,11,11,11,11,11,11,11,11,11
10349,10,10,10,10,10,10,10,10,10,10
10350,0,0,0,0,9,0,0,0,0,0
10351,14,14,14,14,14,14,14,14,14,14
10352,20,20,20,20,20,20,20,20,20,20
10353,0,0,26,19,33,0,0,0,0,5
10354,2,2,2,2,2,2,2,2,2,2
10355,0,0,7,0,0,0,0,0,0,0
10356,0,0,0,22,0,5,29,0,0,0
10357,0,0,0,0,0,0,0,0,0,0
10358,0,0,0,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,0,0
10360,0,0,0,0,0,0,0,0,0,0
10361,23,23,23,23,23,23,23,23,23,23
10362,26,26,26,26,26,26,26,26,26,26
10363,8,8,8,8,8,8,8,8,8,8
10364,2,2,2,2,2,2,2,2,2,2
10365,9,9,9,9,9,9,9,9,9,9
10366,0,0,0,0,0,0,0,0,0,0
