STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
5,50352,2,1,1,30,9,1,36,14,0,3,0,48,6,82,883,82883,66,2003,1FUJBBCG93LK,1,F,U,J,B,B,C,G,9,3,L,K,T,FRHT,ST2,TR,3,17,,8,0,0,CON,D,,1,57,1021700,571021700,3,6,1,1,0,0,0,0,0,0,0,0,6,6,6,2,54,0,0,0,0
5,50352,3,1,0,30,9,1,36,14,0,3,0,6,6,84,881,84881,66,2003,2HSCEAMR33C0,2,H,S,C,E,A,M,R,3,3,C,0,T,INTL,92I,DS,3,17,,8,0,0,920,D,,1,57,1673419,571673419,3,6,1,1,0,0,0,0,0,0,0,0,6,6,4,9,54,0,0,0,0
5,50386,1,1,1,16,10,22,35,14,0,3,0,5,6,7,442,7442,20,1997,2B4GP2439VR4,2,B,4,G,P,2,4,3,9,V,R,4,P,DODG,CAR,SV,97,17,3658,,0,1193,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,14,0,0,0,1
5,50464,4,3,0,4,12,11,40,12,6,3,0,5,6,20,481,20481,31,1988,2GCDK14K8J12,2,G,C,D,K,1,4,K,8,J,1,2,T,CHEV,GK1,PK,88,17,,1,1315,1175,GM4,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,61,4,4,14,0,0,0,0
6,60018,2,1,0,1,1,3,18,33,0,2,0,6,6,37,32,37032,4,1999,JHMCG6674XC0,J,H,M,C,G,6,6,7,4,X,C,0,P,HOND,UEX,4D,99,17,3086,,0,1069,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,63,2,4,12,0,0,0,0
6,60018,3,1,0,1,1,3,18,33,0,2,0,6,6,59,35,59035,4,2005,JTHBD1928500,J,T,H,B,D,1,9,2,8,5,0,0,P,LEXS,IS3,4D,5,17,3285,,0,1051,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2,4,12,0,0,0,0
6,60018,4,1,0,1,1,3,18,33,0,2,0,92,6,59,35,59035,4,2008,JTHBK2628820,J,T,H,B,K,2,6,2,8,8,2,0,P,LEXS,I25,4D,8,17,3455,,0,1075,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,61,4,4,12,0,0,0,0
6,60022,2,1,0,7,1,2,9,14,0,3,0,0,6,12,16,12016,4,2008,2FAHP71V68X1,2,F,A,H,P,7,1,V,6,8,X,1,P,FORD,CVP,4D,8,17,0,,0,1146,,F,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,5,0,0,62,62,6,2,12,0,0,1,0
6,60022,3,1,0,7,1,2,9,14,0,3,0,0,6,12,481,12481,31,2000,2FTPF17Z4YCA,2,F,T,P,F,1,7,Z,4,Y,C,A,T,FORD,F15,PK,0,17,,2,1385,1199,COF,C,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,6,2,12,0,0,1,0
6,60033,2,1,1,8,1,6,45,14,0,2,0,18,6,85,881,85881,66,2007,1XKDA48X57J2,1,X,K,D,A,4,8,X,5,7,J,2,T,KW,T80,DS,7,17,,8,2600,1600,CON,D,,2,57,239039,57239039,3,7,1,1,0,0,0,0,0,0,0,0,6,6,4,3,12,0,0,0,0
